"BAL201403310",10,"$Grady Sizemore's first game since 2011 due to multiple injuries","FILENAME_TX","LINE_NUMBER_CT"
"BAL201406080",81,"replay,9,schoj001,BAL,vanol901,BAL12,,Y,M,OAK,C $when Jonathan Schoop was called safe at 1B, Athletics manager Bob Melvin challenged the ruling; the call was overturned by replay","2014BAL.EVA.regular.comment.csv",17
"BAL201406090",26,"replay,4,davic003,BAL,gormb901,BAL12,,Y,M,BAL,C $when Chris Davis was called out at 1B, Orioles manager Buck Showalter challenged the ruling; the call was overturned by replay","2014BAL.EVA.regular.comment.csv",18
"BAL201406100",65,"originally a dropped foul error by catcher during Markakis' at bat, removed on 06-17-2014","2014BAL.EVA.regular.comment.csv",19
"BAL201406110",31,"replay,4,markn001,BAL,gormb901,BAL12,,Y,M,BOS,C $when Nick Hundley was called safe at 2B, Red Sox manager John Farrell challenged the ruling; the call was overturned by replay","2014BAL.EVA.regular.comment.csv",20
"BAL201406120",53,"$Jose Reyes called for interference","2014BAL.EVA.regular.comment.csv",21
"BAL201406120",73,"replay,9,mastd002,TOR,laynj901,BAL12,,N,M,TOR,C $when Darin Mastroianni was called out at 1B, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay","2014BAL.EVA.regular.comment.csv",22
"BAL201406130",66,"replay,8,cruzn002,BAL,laynj901,BAL12,,N,M,BAL,C $when Nelson Cruz was called out at 1B, Orioles manager Buck Showalter challenged the ruling; the call was upheld by replay","2014BAL.EVA.regular.comment.csv",23
"BAL201406140",42,"$when Adam Jones turned toward 2B, he ran into 1B umpire Hunter Wendelstedt; Jones put his arms out and knocked Wendelstedt down; Wendelstedt, who banged his head on the ground, worked the rest of the game but was out the next day","2014BAL.EVA.regular.comment.csv",24
"BAL201406140",59,"Blue Jays pitcher R. A. Dickey left the game due to an injured groin","2014BAL.EVA.regular.comment.csv",25
"BAL201406140",61,"Blue Jays designated hitter Adam Lind left the game due to an injured foot","2014BAL.EVA.regular.comment.csv",26
"BAL201406140",63,"replay,8,encae001,TOR,laynj901,BAL12,,N,U,,P $crew chief Jerry Layne requested a review of the play at HP; the call was upheld by replay as catcher Nick Hundley did not block HP","2014BAL.EVA.regular.comment.csv",27
"BAL201406150",29,"replay,4,jonea003,BAL,laynj901,BAL12,,N,M,BAL,C $when Adam Jones was called out at 1B, Orioles manager Buck Showalter challenged the ruling; the call was upheld by replay","2014BAL.EVA.regular.comment.csv",28
"BAL201406150",59,"replay,8,lawrb002,TOR,laynj901,BAL12,,N,M,TOR,A $when Jose Bautista was called out at HP, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay","2014BAL.EVA.regular.comment.csv",29
"BAL201406250",48,"replay,7,flowt001,CHA,emmep901,BAL12,,Y,M,BAL,A $when Tyler Flowers was called safe at 2B, Orioles manager Buck Showalter challenged the ruling; the call was overturned by replay","2014BAL.EVA.regular.comment.csv",30
"BAL201406250",98,"$David Lough tripped rounding 3B and had to return to the bag","2014BAL.EVA.regular.comment.csv",31
"BAL201406271",58,"replay,7,zobrb001,TBA,gormb901,BAL12,,Y,M,BAL,C $when Ben Zobrist was called safe at 1B, Orioles manager Buck Showalter challenged the ruling; the call was overturned by replay","2014BAL.EVA.regular.comment.csv",32
"BAL201406272",45,"replay,6,kierk001,TBA,gormb901,BAL12,,Y,M,TBA,C $when Kevin Kiermaier was called out at 1B, Rays manager Joe Maddon challenged the ruling; the call was overturned by replay","2014BAL.EVA.regular.comment.csv",33
"BAL201406272",53,"replay,6,jonea003,BAL,gormb901,BAL12,,N,M,BAL,A $when Manny Machado was called out at 1B, Orioles manager Buck Showalter challenged the ruling; the call was upheld by replay","2014BAL.EVA.regular.comment.csv",34
"BAL201406290",63,"replay,6,hardj003,BAL,randt901,BAL12,,Y,M,TBA,C $when J.J. Hardy was called safe at 1B, Rays manager Joe Maddon challenged the ruling; the call was overturned by replay","2014BAL.EVA.regular.comment.csv",35
"BAL201406300",20,"replay,3,chirr001,TEX,nelsj901,BAL12,,Y,M,TEX,A $when Robinson Chirinos was called out at 2B, Rangers manager Ron Robinson challenged the ruling; the call was overturned by replay","2014BAL.EVA.regular.comment.csv",36
"BAL201407010",6,"replay,1,pears001,BAL,nelsj901,BAL12,F,N,U,,H $Steve Pearce's fly down the LF line was a foot fair and just over the wall; the ball struck the webbing of Shin-Soo Choo's glove and then the LF pole; the ball was ruled a home run but crew chief Jeff Nelson requested a review of his own call; the ruling was upheld by replay","2014BAL.EVA.regular.comment.csv",37
"BAL201407020",37,"replay,5,riosa002,TEX,nelsj901,BAL12,,Y,M,TEX,C $when Alex Rios was called out at 1B, Rangers manager Washington challenged the ruling; the call was overturned by replay","2014BAL.EVA.regular.comment.csv",38
"BAL201407090",2,"$fan interference","2014BAL.EVA.regular.comment.csv",39
"BAL201407100",27,"replay,4,laroa001,WAS,cedeg901,BAL12,,Y,M,WAS,I $when a pitch struck Adam LaRoche's shirt, HP umpire CB Bucknor ruled LaRoche was not hit; Nationals manager Matt Williams challenged the call, which was overturned by replay","2014BAL.EVA.regular.comment.csv",40
"BAL201407130",38,"$Game called for rain after 1:39 delay","2014BAL.EVA.regular.comment.csv",41
"BAL201407310",36,"Angels pitcher Tyler Skaggs left the game due to an injured arm","2014BAL.EVA.regular.comment.csv",42
"BAL201407310",82,"replay,11,cruzn002,BAL,cedeg901,BAL12,,N,M,BAL,A $when Adam Jones was called out at 1B, Orioles manager Buck Showalter challenged the ruling; the call was upheld by replay","2014BAL.EVA.regular.comment.csv",43
"BAL201408020",50,"replay,6,yound003,BAL,welkt901,BAL12,,Y,M,SEA,C $when Delmon Young was called safe at 1B, Mariners manager Lloyd McClendon challanged the ruling; the call was overturned by replay","2014BAL.EVA.regular.comment.csv",44
"BAL201408090",5,"replay,1,peraj001,SLN,nelsj901,BAL12,,N,U,,P $when Matt Holliday was called out at HP, crew chief Jeff Nelson requested a review; the call was upheld by replay","2014BAL.EVA.regular.comment.csv",45
"BAL201408090",18,"$fifth consecutive game with a home run for Caleb Joseph","2014BAL.EVA.regular.comment.csv",46
"BAL201408100",64,"replay,7,jay-j001,SLN,nelsj901,BAL12,,Y,M,SLN,C ej,showb801,M,nelsj901,Replay ruling $Jonathan Schoop dropped the ball while trying to turn a double play; the runner was called out on the transfer rule; Cardinals manager Mike Matheny challenged the ruling and the call was overturned by replay; Orioles manager Buck Showalter ejected by crew chief Jeff Nelson arguing the replay result","2014BAL.EVA.regular.comment.csv",47
"BAL201408110",23,"originally scored as E4, changed to single on 08-22-2014","2014BAL.EVA.regular.comment.csv",48
"BAL201408110",27,"$Manny Machado fell in the batter's box as he swung and grabbed his right knee in pain as Derek Jeter easily through him out; the injury was diagnosed as a severe sprain","2014BAL.EVA.regular.comment.csv",49
"BAL201408110",29,"replay,3,cruzn002,BAL,davig901,BAL12,,Y,M,BAL,I $when Nelson Cruz was hit by a pitch but not awarded 1B, Orioles manager Buck Showalter challenged the ruling; the call was overturned from ball to hit by pitch by replay","2014BAL.EVA.regular.comment.csv",50
"BAL201408130",46,"ej,giraj001,M,davig901,Interference call $Stephen Drew called for interference for running in fair territory; the throw went into RF; Yankees Manager Joe Girardi ejected by HP umpire Gerry Davis","2014BAL.EVA.regular.comment.csv",51
"BAL201408250",50,"$Adam Jones caught the ball over the wall","2014BAL.EVA.regular.comment.csv",52
"BAL201408260",3,"replay,1,forsl001,TBA,nelsj901,BAL12,,N,U,,P $when Desmond Jennings was called out at HP, crew chief Jeff Nelson requested a review; the call was upheld by replay saying the catcher did not block HP and the runner was out","2014BAL.EVA.regular.comment.csv",53
"BAL201408260",25,"replay,4,markn001,BAL,nelsj901,BAL12,,N,U,,K $when the 2-2 pitch was called a ball, Nick Markakis ran to 1B; crew chief Jeff Nelson requested a review of the pitch sequence to verify the count; it was confirmed as 3-2","2014BAL.EVA.regular.comment.csv",54
"BAL201408290",20,"Orioles left fielder Steve Pearce left the game due to an injured chest","2014BAL.EVA.regular.comment.csv",55
"BAL201408290",42,"replay,5,yound003,BAL,wintm901,BAL12,I,N,U,,H $Delmon Young's fly to LF caromed off Jordan Schafer's glove and was caught by a fan at the top of the wall; the ball was ruled a homer; crew chief Mike Winters requested a review, which upheld the call; there was no fan interference","2014BAL.EVA.regular.comment.csv",56
"BAL201408300",32,"replay,4,suzuk001,MIN,wintm901,BAL12,,Y,M,MIN,C $when Trevor Plouffe was called out at 2B, Twins manager Ron Gardenhire challenged the ruling; the call was overturned by replay because Jonathan Schoop never controlled the throw","2014BAL.EVA.regular.comment.csv",57
"BAL201409010",33,"replay,5,parej002,BAL,cedeg901,BAL12,,N,M,BAL,C $when Jimmy Paredes was called out at 1B, Orioles manager Buck Showalter challenged the ruling; the call was upheld by replay","2014BAL.EVA.regular.comment.csv",58
"BAL201409010",54,"Orioles shortstop J. Hardy left the game due to an injured back","2014BAL.EVA.regular.comment.csv",59
"BAL201409020",0,"23 minute rain delay before start of game","2014BAL.EVA.regular.comment.csv",60
"BAL201409020",1,"umpchange,1,ump1b,estam901 umpchange,1,ump2b,(None) $the ball caromed off Bud Norris' shin toward 1B; Norris retrieved the ball and flipped it toward 1B while falling; Billy Hamilton ran past the bag and collided with 1B umpire Mike DiMuro; both Hamilton and DiMuro fell to the ground; DiMuro left the game with an unspecified injury","2014BAL.EVA.regular.comment.csv",61
"BAL201409020",2,"1:46 rain delay with 2-2 count on Todd Frazier","2014BAL.EVA.regular.comment.csv",62
"BAL201409020",63,"originally scored as throwing error, changed to single on 09-16-2014, making his run earned","2014BAL.EVA.regular.comment.csv",63
"BAL201409020",74,"replay,9,frazt001,CIN,laynj901,BAL12,,N,M,CIN,A $when Billy Hamilton was called out on a tag between 1B and 2B, Reds manager Bryan Price challenged the ruling; the call Was upheld by replay","2014BAL.EVA.regular.comment.csv",64
"BAL201409030",32,"$Skip Schumaker called for interference for running into his own batted ball","2014BAL.EVA.regular.comment.csv",65
"BAL201409130",1,"replay,1,ellsj001,NYA,welkt901,BAL12,,Y,M,BAL,C $when Jacoby Ellsbury was called safe at 1B, Orioles manager Buck Showalter challenged the ruling; the call was overturned by replay","2014BAL.EVA.regular.comment.csv",66
"BAL201409150",76,"replay,9,encae001,TOR,barrt901,BAL12,,N,M,TOR,C $when Jose Bautista was called out at 2B, Blue Jays manager John Gibbons challenged the ruling; the call was upheld by replay","2014BAL.EVA.regular.comment.csv",67
"BAL201409210",15,"Red Sox shortstop Xander Bogaerts left the game due to an injured neck","2014BAL.EVA.regular.comment.csv",68
"BAL201409210",59,"replay,7,josec002,BAL,demud901,BAL12,,N,M,BOS,C $when Caleb Joseph was called safe at 1B, Red Sox manager John Farrell challenged the ruling; the call was upheld by replay","2014BAL.EVA.regular.comment.csv",69
