"CHN201704100",10,"Dodgers left fielder Franklin Gutierrez left the game due to an injured leg","FILENAME_TX","LINE_NUMBER_CT"
"CHN201705030",21,"replay,3,navad002,PHI,hudsm901,CHI11,,Y,M,CHN,A $when Cesar Hernandez was called safe at 1B, Cubs manager Joe Maddon challenged the ruling; the call was overturned by replay","2017CHN.EVN.regular.comment.csv",12
"CHN201705030",71,"replay,8,jay-j001,CHN,hudsm901,CHI11,,Y,M,PHI,C $when Jon Jay was called safe at 1B, Phillies manager Pete Mackanin challenged the ruling; the call was overturned by replay","2017CHN.EVN.regular.comment.csv",13
"CHN201705040",56,"replay,6,szczm001,CHN,hudsm901,CHI11,,Y,M,PHI,C $when Matt Szczur was called safe at 1B, Phillies manager Pete Mackanin challenged the ruling; the call was overturned by replay","2017CHN.EVN.regular.comment.csv",14
"CHN201705060",7,"Cubs pitcher Brett Anderson left the game due to an injured back","2017CHN.EVN.regular.comment.csv",15
"CHN201705170",77,"replay,9,vottj001,CIN,mealj901,CHI11,,Y,M,CHN,C $when Joey Votto was called safe at 1B, Cubs manager Joe Maddon challenged the ruling; the call was overturned by replay","2017CHN.EVN.regular.comment.csv",16
"CHN201705180",51,"$originally scored as error, changed to single on 05-24-2017","2017CHN.EVN.regular.comment.csv",17
"CHN201705210",44,"Brewers first baseman Eric Thames left the game due to an injured leg","2017CHN.EVN.regular.comment.csv",18
"CHN201705210",60,"$originally scored as single, changed to error on 06-01-2017, removing RBI and changing run to earned run","2017CHN.EVN.regular.comment.csv",19
"CHN201705220",45,"replay,5,baezj001,CHN,nelsj901,CHI11,,Y,M,CHN,C $when Javier Baez was called out at 1B, Cubs manager Joe Maddon challenged the ruling; the call was overturned by replay","2017CHN.EVN.regular.comment.csv",20
"CHN201705240",47,"$Jason Heyward called for interference for running in fair territory when struck by the throw","2017CHN.EVN.regular.comment.csv",21
"CHN201705250",36,"replay,5,panij002,SFN,nelsj901,CHI11,,Y,M,CHN,A $when Denard Span was called safe at 1B, Cubs manager Joe Maddon challenged the ruling; the call was overturned by replay","2017CHN.EVN.regular.comment.csv",22
"CHN201706030",39,"replay,5,schwk001,CHN,demud901,CHI11,,Y,M,SLN,A $Mike Leake attempted to pick off Javier Baez at 2B; the ball got away from Aledmys Diaz; when Baez was called safe at 3B, Cardinals manager Mike Matheny challenged the ruling; the call was overturned by replay","2017CHN.EVN.regular.comment.csv",23
"CHN201706050",55,"replay,8,suzui001,MIA,emmep901,CHI11,,Y,M,CHN,A $when J.T. Riddle was called safe at 1B, Cubs manager Joe Maddon challenged the ruling; the call was overturned by replay","2017CHN.EVN.regular.comment.csv",24
"CHN201706090",50,"$Trevor Story's fly to LF was ruled a foul ball but crew chief Jerry Layne requested a review; the call was upheld by replay","2017CHN.EVN.regular.comment.csv",25
"CHN201706090",51,"replay,6,stort001,COL,laynj901,CHI11,F,N,U,,H","2017CHN.EVN.regular.comment.csv",26
"CHN201706090",69,"replay,8,hanir001,COL,laynj901,CHI11,,N,M,COL,A $when Ian Desmond was called out at 2B, Rockies manager Bud Black challenged the ruling; the call was upheld by replay","2017CHN.EVN.regular.comment.csv",27
"CHN201706100",14,"replay,2,hoffj003,COL,laynj901,CHI11,,Y,M,CHN,A $when Jeff Hoffman was called safe at 1B, Cubs manager Joe Maddon challenged the ruling; the call was overturned by replay","2017CHN.EVN.regular.comment.csv",28
"CHN201706100",30,"replay,4,hoffj003,COL,laynj901,CHI11,,Y,M,CHN,C $when Tony Wolters was called safe at 2B, Cubs manager Joe Maddon challenged the ruling; the call was overturned by replay, thus taking a run off the board","2017CHN.EVN.regular.comment.csv",29
"CHN201706110",42,"ej,gonzc001,P,hudsm901,Called third strike Rockies right fielder Carlos Gonzalez ejected by HP umpire Marvin Hudson","2017CHN.EVN.regular.comment.csv",30
"CHN201706110",53,"replay,6,baezj001,CHN,laynj901,CHI11,,Y,M,COL,C $when Javier Baez was called safe at 1B, Rockies manager Bud Black challenged the ruling; the call was overturned by replay","2017CHN.EVN.regular.comment.csv",31
"CHN201706200",3,"$Yangervis Solarte had a strained left oblique and did not take the field","2017CHN.EVN.regular.comment.csv",32
"CHN201706200",69,"replay,8,almoa002,CHN,nelsj901,CHI11,,N,M,CHN,A $when Albert Almora was called out at 3B, Cubs manager Joe Maddon challenged the ruling; the call was upheld by replay","2017CHN.EVN.regular.comment.csv",33
"CHN201706210",23,"Padres pitcher Miguel Diaz left the game due to an injured arm","2017CHN.EVN.regular.comment.csv",34
"CHN201707050",42,"$Cubs challenged call at 2nd, claiming Smith was out; call was upheld - double","2017CHN.EVN.regular.comment.csv",35
"CHN201707050",71,"$umpires reviewed tag play at 3rd; call was upheld - out","2017CHN.EVN.regular.comment.csv",36
"CHN201707070",3,"$Unclear if McCutchen's double went through basket; umpires reviewed and confirmed call of double","2017CHN.EVN.regular.comment.csv",37
"CHN201707070",70,"$Schwarber out returning to first; Cubs challenged call which was upheld","2017CHN.EVN.regular.comment.csv",38
"CHN201707080",48,"$Cubs challenged call that Zobrist was out at 1st; call overturned - error","2017CHN.EVN.regular.comment.csv",39
"CHN201707090",3,"$Cubs challenged fair call that appeared to give McCutchen a double on 5th pitch; call was overturned - foul","2017CHN.EVN.regular.comment.csv",40
"CHN201707090",48,"$Cubs challenged call that Florio was out at 1st; call was upheld - double play","2017CHN.EVN.regular.comment.csv",41
"CHN201707090",79,"$Pirates challenged call that Russell was safe on single; call was overturned - ground out","2017CHN.EVN.regular.comment.csv",42
"CHN201707230",12,"$Cardinals Matt Carpenter left with injured leg","2017CHN.EVN.regular.comment.csv",43
"CHN201707250",40,"ej,bryak001,P,barkl901,Arguing called third strike $Kris Bryant ejected for arguing called third strike","2017CHN.EVN.regular.comment.csv",44
"CHN201707250",79,"$White Sox challenged call at first that Saladino was out to complete double play; call was upheld - out for DP","2017CHN.EVN.regular.comment.csv",45
"CHN201708030",69,"$Cubs challenged call that Goldschmidt was safe at home; call was upheld - safe","2017CHN.EVN.regular.comment.csv",46
"CHN201708040",21,"$Nationals challenged call that Harper was out at 1st; call was overturned - single","2017CHN.EVN.regular.comment.csv",47
"CHN201708040",57,"$Nationals challenged call that Jay was safe at 1st to avoid double play; call was upheld - safe at 1st, no DP","2017CHN.EVN.regular.comment.csv",48
"CHN201708050",52,"ej,wietm001,P,whitc901,Arguing balls and strikes $Wieters argued that plate umpire Whitson had different strike zones for the two teams; he was ejected between innings","2017CHN.EVN.regular.comment.csv",49
"CHN201708140",64,"$Cubs challenged call that final pitch was a ball, claiming it had hit Scjwarber; call was overturned - hit by pitch","2017CHN.EVN.regular.comment.csv",50
"CHN201708150",45,"$Cubs challenged call that Bryant was out at first; call was upheld - ground out","2017CHN.EVN.regular.comment.csv",51
"CHN201708160",40,"$Reds challenged call that Lackey was safe at 2nd on attempted pickoff; call was overturned - out at 2nd Lackey wasn't paying attention at 2nd after Zobrist walked and Reds picked him off; call was changed to pickoff and caught stealing on 08-23-2017","2017CHN.EVN.regular.comment.csv",52
"CHN201708160",79,"ej,maddj801,M,conrc901,Arguing reversal of hit by pitch call $second pitch to Zobrist hit him, but umpires ruled he did not try to avoid it; Maddon ejected by 1b umpire Conroy for arguing about the reversed call","2017CHN.EVN.regular.comment.csv",53
"CHN201708170",19,"$Jon Lester left with injured back","2017CHN.EVN.regular.comment.csv",54
"CHN201708180",18,"$Cubs challenged call that Baez was out at home, claiming that he was safe and that catcher had illegally blocked the plate; call was upheld - out at home","2017CHN.EVN.regular.comment.csv",55
"CHN201708180",71,"$Blue Jays challenged call that Heyward was safe at 1st; call was upheld - force out, no double play","2017CHN.EVN.regular.comment.csv",56
"CHN201708200",35,"$Blue Jays challenged call that Carrera was out at 1st; call was overturned - double play","2017CHN.EVN.regular.comment.csv",57
"CHN201708200",69,"$Blue Jays challenged call that second pitch to Lopez was a ball; they claimed it hit him; call was upheld - ball","2017CHN.EVN.regular.comment.csv",58
"CHN201708200",89,"$Baez was originally credited with reaching first on a fielder's choice; wild pitch was added on 08-21-2017","2017CHN.EVN.regular.comment.csv",59
"CHN201709010",24,"$Braves challenged call that Schwarber was safe at 1st; call was upheld - single","2017CHN.EVN.regular.comment.csv",60
"CHN201709020",91,"$Braves challenged call that Swanson was out at 1st; call was overturned - safe for single","2017CHN.EVN.regular.comment.csv",61
"CHN201709080",47,"$Jimmy Nelson left with injured shoulder","2017CHN.EVN.regular.comment.csv",62
"CHN201709120",60,"$originally scored as pickoff-caught stealing, changed to straight pickoff on 09-13-2017","2017CHN.EVN.regular.comment.csv",63
"CHN201709140",53,"$Amed Rosario left with injured hip Travis d'Arnaud left with injured knee","2017CHN.EVN.regular.comment.csv",64
"CHN201709150",36,"ej,lackj001,P,bakej902,Arguing balls and strikes ej,contw001,P,bakej902,Arguing balls and strikes $Pitcher Lackey appeared to have struck out Carlos $Martinez and complained loudly; when Martinez singled to drive in a run, Lackey charged home and yelled aggressively at plate umpire Baker who ejected him; catcher Contreras also argued and was also ejected","2017CHN.EVN.regular.comment.csv",65
"CHN201709150",37,"$Kolten Wong left with injured back","2017CHN.EVN.regular.comment.csv",66
"CHN201709160",24,"$Cubs challenged call that Martinez was safe at 1st on pickoff attempt; call was overturned - pickoff out","2017CHN.EVN.regular.comment.csv",67
"CHN201709170",22,"$Cardinals challenged call that Bryant was safe at 1st; call was upheld - single","2017CHN.EVN.regular.comment.csv",68
"CHN201709170",63,"$Cubs challenged call that pitch had missed Rizzo; call was overturned - hit by pitch","2017CHN.EVN.regular.comment.csv",69
"CHN201709290",58,"$Cubs challenged call that Rondon was out at 1st; call was overturned - single","2017CHN.EVN.regular.comment.csv",70
"CHN201710010",66,"Reds challenged call that Winker was out at 3rd; call was upheld - caught stealing","2017CHN.EVN.regular.comment.csv",71
