"PHI191704280",31,"Not certain when McGaffigan entered."FILENAME_TX","LINE_NUMBER_CT"
"PHI191707132",69,"Niehoff: spectacular 1-handed catch"1917PHI.EVN.regular.comment.csv",58

"PHI191707142",74,"Game called for rain"1917PHI.EVN.regular.comment.csv",59

"PHI191708161",28,"Bounced into stands"1917PHI.EVN.regular.comment.csv",60

"PHI191708171",37,"ej,paskd101,P,riglc901,Called third strike $Paskert ejected by HP umpire Rigler for arguing called strike 3"1917PHI.EVN.regular.comment.csv",61

"PHI191708180",4,"ej,boect101,P,riglc901,Called strike 3 $Boeckel ejected by HP umpire Rigler for arguing called strike 3"1917PHI.EVN.regular.comment.csv",62

"PHI191708180",75,"bezdh801,M,riglc901,Balls and strikes $Pirates manager Bezdek ejected by HP umpire Rigler for arguing balls and strikes"1917PHI.EVN.regular.comment.csv",63

"PHI191708180",78,"Hit $50 prize sign."1917PHI.EVN.regular.comment.csv",64

"PHI191708180",96,"Wagner pinch hit with 2-0 count on Debus."1917PHI.EVN.regular.comment.csv",65

"PHI191708200",54,"Not clear when Niehoff entered."1917PHI.EVN.regular.comment.csv",66

"PHI191708211",17,"Kilduff: leaping stop"1917PHI.EVN.regular.comment.csv",67

"PHI191708211",63,"Infield hit"1917PHI.EVN.regular.comment.csv",68

"PHI191708211",67,"Rain began to fall"1917PHI.EVN.regular.comment.csv",69

"PHI191708212",2,"High bounder"1917PHI.EVN.regular.comment.csv",70

"PHI191708212",16,"Cravath: leaping catch at the tobacco sign, robbing Flack of $50 he would have received by hitting it."1917PHI.EVN.regular.comment.csv",71

"PHI191708212",34,"Flack: leaping catch at the wall"1917PHI.EVN.regular.comment.csv",72

"PHI191708212",45,"Deal: jumping stop"1917PHI.EVN.regular.comment.csv",73

"PHI191708212",50,"Kilduff: fast scoop & toss"1917PHI.EVN.regular.comment.csv",74

"PHI191708212",57,"BOUNCE HR into LCF bleachers"1917PHI.EVN.regular.comment.csv",75

"PHI191708212",63,"BOUNCE HR into LCF bleachers"1917PHI.EVN.regular.comment.csv",76

"PHI191708220",54,"Not certain when or if Zeider entered."1917PHI.EVN.regular.comment.csv",77

"PHI191708241",28,"Chase had no play at first so he threw to second, too late."1917PHI.EVN.regular.comment.csv",78

"PHI191708241",30,"Ball hit the scoreboard."1917PHI.EVN.regular.comment.csv",79

"PHI191708241",34,"Great stop and throw"1917PHI.EVN.regular.comment.csv",80

"PHI191708241",38,"Drive hit the bull sign."1917PHI.EVN.regular.comment.csv",81

"PHI191708241",41,"Fine catch by Paskert"1917PHI.EVN.regular.comment.csv",82

"PHI191708241",46,"Attempted double steal"1917PHI.EVN.regular.comment.csv",83

"PHI191708241",50,"Attempted double steal"1917PHI.EVN.regular.comment.csv",84

"PHI191708241",51,"Wingo let the throw home get away."1917PHI.EVN.regular.comment.csv",85

"PHI191708241",57,"Platoon shuffling by mgrs. Moran and Mathewson"1917PHI.EVN.regular.comment.csv",86

"PHI191708242",66,"Rest of game from 8/25 Phi. Inquirer and Retro box score."1917PHI.EVN.regular.comment.csv",87

"PHI191708251",82,"Pinch-runner not noted on scoresheet."1917PHI.EVN.regular.comment.csv",88

"PHI191708270",77,"Loss charged to Horstmann although winning run scored off Doak."1917PHI.EVN.regular.comment.csv",89

"PHI191708280",41,"Hit and run play."1917PHI.EVN.regular.comment.csv",90

"PHI191708280",60,"Rest of game from 8/20 Phi. Inq. and Retrosheet box score."1917PHI.EVN.regular.comment.csv",91

"PHI191708290",34,"Not clear when Betzel entered."1917PHI.EVN.regular.comment.csv",92

"PHI191708301",0,"Rain falling during most of the game."1917PHI.EVN.regular.comment.csv",93

"PHI191708301",21,"Bounce HR: Ball bounced into left centerfield bleachers."1917PHI.EVN.regular.comment.csv",94

"PHI191708301",32,"313 agrees with pbp."1917PHI.EVN.regular.comment.csv",95

"PHI191710022",60,"Infield hit"1917PHI.EVN.regular.comment.csv",96

"PHI191710022",69,"Hit went to the flag pole."1917PHI.EVN.regular.comment.csv",97

