"OAK201304120",26,"originally scored SB3, changed on 4-15 to CS3","FILENAME_TX","LINE_NUMBER_CT"
"OAK201307140",61,"ej,gomej001,P,ticht901,Time out non-call $Johnny Gomes requested time after the pitcher had started his motion; HP umpire Todd Tichenor did not grant time out and Gomes swung at a pitch in the dirt for strike three; Gomes objected to the non-call and was ejected by Tichenor","2013OAK.EVA.regular.comment.csv",24
"OAK201307260",29,"$Yoenis Cespedes called for interference on a steal attempt","2013OAK.EVA.regular.comment.csv",25
"OAK201307290",5,"originally scored as E3, changed to single on 07-31-2013, makes all runs in inning earned","2013OAK.EVA.regular.comment.csv",26
"OAK201308130",80,"replay,9,younc004,OAK,demud901,OAK01,F,N,I,,H $Chris Young hit a fly ball down the LF line that was ruled foul; the ball was just to the foul side of the pole; crew chief Dana DeMuth watched the replay and upheld the call","2013OAK.EVA.regular.comment.csv",27
"OAK201308140",61,"ej,melvb001,M,eddid901,Call at 3B Athletics Manager Bob Melvin ejected by 2B umpire Doug Eddings","2013OAK.EVA.regular.comment.csv",28
"OAK201308200",66,"Derek Norris left with a fractured left big toe","2013OAK.EVA.regular.comment.csv",29
"OAK201309020",40,"replay,5,crisc001,OAK,hallt901,OAK01,F,N,I,,H $Coco Crisp's fly ball down the LF line struck the edge of the pole on the foul side and caromed over the fence in foul territory; the ball was ruled a home run by 3B umpire and crew chief Tom Hallion but the Rangers argued the call; Hallion watched the replay and upheld the call","2013OAK.EVA.regular.comment.csv",30
"OAK201309020",55,"Athletics center fielder Coco Crisp left the game due to an injured leg","2013OAK.EVA.regular.comment.csv",31
"OAK201309040",69,"$the Rangers fifth and sixth lineup spots swapped defensive positions","2013OAK.EVA.regular.comment.csv",32
"OAK201309040",77,"$Engel Beltre batted in the sixth spot as if the fifth and sixth spots had not changed defensive positions","2013OAK.EVA.regular.comment.csv",33
"OAK201309040",79,"$both Engel Beltre and Jeff Baker batted out of turn","2013OAK.EVA.regular.comment.csv",34
"OAK201309050",65,"ej,portb001,M,rippm901,Call at HP Astros manager Bo Porter ejected by HP Umpire Mark Ripperger","2013OAK.EVA.regular.comment.csv",35
"OAK201309060",54,"$a pitch struck Brandon Barnes but HP umpire Alan Porter ruled that Barnes leaned into the ball","2013OAK.EVA.regular.comment.csv",36
"OAK201309060",55,"ej,barnb002,P,porta901,HBP non-call Astros center fielder Brandon Barnes ejected by HP umpire Alan Porter for continuing to yell from the dugout","2013OAK.EVA.regular.comment.csv",37
"OAK201309080",45,"ej,portb001,M,wendh902,Balls and strikes Astros Manager Bo Porter ejected by HP umpire Hunter Wendelstedt","2013OAK.EVA.regular.comment.csv",38
"OAK201309190",79,"Twins third baseman Trevor Plouffe left the game due to an injured wrist","2013OAK.EVA.regular.comment.csv",39
