"BAL200904060",54,"$fan interference"FILENAME_TX","LINE_NUMBER_CT"
"BAL200906090",10,"replay,1,moram002,BAL,cedeg901,BAL12,I,Y,I,,H $Endy Chavez jumped in an attempt to catch Melvin Mora's fly at the wall in LF; a fan touched the ball and the play was ruled a home run; the Mariners objected to the call, so crew chief Gary Cederstrom watched the replay; the call was overturned because the fan interfered with Chavez's chance to catch the ball"2009BAL.EVA.regular.comment.csv",19

"BAL200906100",20,"Mariners center fielder Franklin Gutierrez left the game due to an injured knee"2009BAL.EVA.regular.comment.csv",20

"BAL200906170",78,"fan interference"2009BAL.EVA.regular.comment.csv",21

"BAL200906280",27,"$off the warehouse building in RF"2009BAL.EVA.regular.comment.csv",22

"BAL200906290",35,"Orioles CF Adam Jones reached over the wall to bring back a home run"2009BAL.EVA.regular.comment.csv",23

"BAL200906300",4,"Orioles center fielder Adam Jones slammed into the wall trying to catch the home run; his glove went over the fence with the ball; he had robbed a homer by Kevin Youkilis in the previous game"2009BAL.EVA.regular.comment.csv",24

"BAL200906300",22,"Orioles center fielder Adam Jones left the game due to an injured neck/shoulder"2009BAL.EVA.regular.comment.csv",25

"BAL200906300",85,"$the ten-run come back is the largest in Oriole history"2009BAL.EVA.regular.comment.csv",26

"BAL200907110",83,"Originally scored as POCS, changed after game to PO. Changed back to CS 5 days later"2009BAL.EVA.regular.comment.csv",27

"BAL200907120",12,"$HP umpire Ron Kulpa was hit on the mask by a foul ball by Ty Wigginton: Kulpa was treated but remained in the game; he left in the middle of the third inning with a slight concussion"2009BAL.EVA.regular.comment.csv",28

"BAL200907120",21,"umpchange,3,umphome,scotd901 umpchange,3,ump1b,mealj901 umpchange,3,ump2b,(None) $HP umpire Ron Kulpa left the game, causing a brief delay"2009BAL.EVA.regular.comment.csv",29

"BAL200907290",1,"Debut game for Chris Tillman"2009BAL.EVA.regular.comment.csv",30

"BAL200907310",23,"$Nolan Reimold caught the ball over the top of the wall"2009BAL.EVA.regular.comment.csv",31

"BAL200907310",27,"replay,3,reimn001,BAL,kellj901,BAL12,O,N,I,,H $the ball hit the top of the out-of-town scoreboard in RF and landed on the field; the Red Sox contended that the ball was in play; acting crew chief Jeff Kellogg looked at the replay and upheld the call of home run"2009BAL.EVA.regular.comment.csv",32

"BAL200907310",50,"$the ball hit near the top of the wall, just missing a homer"2009BAL.EVA.regular.comment.csv",33

"BAL200907310",53,"$Jacoby Ellsbury caught the ball over the top of the wall, bringing a home run back into the park"2009BAL.EVA.regular.comment.csv",34

"BAL200907310",72,"Debut game for Josh Reddick"2009BAL.EVA.regular.comment.csv",35

"BAL200908010",53,"Red Sox left fielder Jason Bay left the game due to an injured leg"2009BAL.EVA.regular.comment.csv",36

"BAL200908010",80,"$During the rundown the pitcher threw the ball past the third baseman but the left fielder backed up the play and returned the ball to the pitcher for the out; Elias ruled this a double play because the wild throw did not result in any extra advance; Varitek had to go home because Lowrie had already gotten to 3B; the pitcher was not credited with an assist because of the wild throw"2009BAL.EVA.regular.comment.csv",37

"BAL200908020",7,"$the throw by Felix Pie was slightly up the first base line; catcher Gregg Zaun tried to keep his foot on the plate and stretch for the throw but the ball got past him; J.D. Drew hopped over Zaun's foot and missed the plate but came back to touch it"2009BAL.EVA.regular.comment.csv",38

"BAL200908020",8,"Red Sox right fielder J. D. Drew left the game due to an injured groin"2009BAL.EVA.regular.comment.csv",39

"BAL200908020",49,"ej,zaung001,P,wendh902,Balls and strikes $after the first pitch to Robert Andino, HP umpire Hunter Wendelstedt reacted to Gregg Zaun's yelling from the bench; Zaun was not happy with the called third strike in his at bat; Zaun kept yelling and was ejected by Wendelstedt"2009BAL.EVA.regular.comment.csv",40

"BAL200908140",75,"$Pie becomes the 4th Oriole to hit for the cycle"2009BAL.EVA.regular.comment.csv",41

"BAL200908290",41,"$the game was stopped here for about an hour due to heavy rain; once the rain quit, there was a further delay of about 30 minutes because both dugouts were flooded with as much as a foot of water"2009BAL.EVA.regular.comment.csv",42

"BAL200908310",49,"$Adam Jones is the first runner of the game for the Orioles with two out in the seventh"2009BAL.EVA.regular.comment.csv",43

"BAL200909010",11,"$Posada stood at the plate after ball four because he thought it was ball three; he went to first after being told it was four balls"2009BAL.EVA.regular.comment.csv",44

"BAL200909010",45,"$after the second strike to Posada, he started to walk to the dugout, thinking he had just struck out; since this was the second time in the game that he lost track of the count, his teammates had a log of fun with it"2009BAL.EVA.regular.comment.csv",45

"BAL200909010",64,"Orioles center fielder Adam Jones left the game due to an injured foot/ankle"2009BAL.EVA.regular.comment.csv",46

"BAL200909060",57,"Debut game for Craig Gentry"2009BAL.EVA.regular.comment.csv",47

"BAL200909140",44,"$the throw by left fielder Nolan Reimold to the plate hit Chris Richard as he slid across the plate; pitcher Brian Bass retrieved the ball and threw to third but the ball went into left field"2009BAL.EVA.regular.comment.csv",48

"BAL200909170",43,"$the Orioles bench was upset at the call on strike three"2009BAL.EVA.regular.comment.csv",49

"BAL200909170",49,"Rays center fielder Fernando Perez left the game due to an injured hand/wrist"2009BAL.EVA.regular.comment.csv",50

"BAL200909170",54,"ej,tremd801,M,kulpr901,Balls and strikes Orioles Manager Dave Trembley ejected by HP umpire Ron Kulpa for arguing balls and strikes"2009BAL.EVA.regular.comment.csv",51

"BAL200909180",42,"Red Sox left fielder Jason Bay left the game due to flu-like symptoms"2009BAL.EVA.regular.comment.csv",52

