"MIA201803300",32,"$Cooper hit on wrist, left game"FILENAME_TX","LINE_NUMBER_CT"
"MIA201806290",58,"$Marlins challenged call that Nimmo was safe at first; call overturned - out to complete double play"2018MIA.EVN.regular.comment.csv",34

"MIA201807010",64,"$originally scored as double, changed to error on 07-02-2018, removing RBI and making run unearned"2018MIA.EVN.regular.comment.csv",35

"MIA201807020",31,"Mound Visit"2018MIA.EVN.regular.comment.csv",36

"MIA201807020",50,"Injury Delay"2018MIA.EVN.regular.comment.csv",37

"MIA201807020",55,"Mound Visit"2018MIA.EVN.regular.comment.csv",38

"MIA201807020",57,"Mound Visit"2018MIA.EVN.regular.comment.csv",39

"MIA201807020",66,"Mound Visit"2018MIA.EVN.regular.comment.csv",40

"MIA201807030",13,"Mound Visit"2018MIA.EVN.regular.comment.csv",41

"MIA201807030",20,"Mound Visit"2018MIA.EVN.regular.comment.csv",42

"MIA201807030",36,"$Rays challenged call that Riddle was safe on wild pitch; call was overturned - out advancing"2018MIA.EVN.regular.comment.csv",43

"MIA201807030",44,"Mound Visit"2018MIA.EVN.regular.comment.csv",44

"MIA201807030",74,"Mound Visit"2018MIA.EVN.regular.comment.csv",45

"MIA201807030",79,"Mound Visit"2018MIA.EVN.regular.comment.csv",46

"MIA201807030",89,"Mound Visit"2018MIA.EVN.regular.comment.csv",47

"MIA201807030",105,"Injury Delay"2018MIA.EVN.regular.comment.csv",48

"MIA201807030",113,"$Marlins challenged call that Duffy was safe on error; call was overturned - ground out"2018MIA.EVN.regular.comment.csv",49

"MIA201807030",119,"$Rays challenged call that Nuno was out at second; call was upheld - single and out stretching"2018MIA.EVN.regular.comment.csv",50

"MIA201807030",131,"Mound Visit"2018MIA.EVN.regular.comment.csv",51

"MIA201807030",139,"Mound Visit"2018MIA.EVN.regular.comment.csv",52

"MIA201807030",140,"Mound Visit"2018MIA.EVN.regular.comment.csv",53

"MIA201807030",141,"$Marlins challenged call that Realmuto was out at 1st to complete double play; call was overtured - force out, no DP"2018MIA.EVN.regular.comment.csv",54

"MIA201807040",8,"Mound Visit"2018MIA.EVN.regular.comment.csv",55

"MIA201807090",16,"Mound Visit"2018MIA.EVN.regular.comment.csv",56

"MIA201807090",31,"Mound Visit"2018MIA.EVN.regular.comment.csv",57

"MIA201807090",33,"$Marlins challenged call that Riddle was out at second; call was overturned - safe on error"2018MIA.EVN.regular.comment.csv",58

"MIA201807090",44,"Mound Visit"2018MIA.EVN.regular.comment.csv",59

"MIA201807090",49,"Mound Visit"2018MIA.EVN.regular.comment.csv",60

"MIA201807090",50,"Mound Visit"2018MIA.EVN.regular.comment.csv",61

"MIA201807090",57,"Mound Visit"2018MIA.EVN.regular.comment.csv",62

"MIA201807090",72,"Injury Delay"2018MIA.EVN.regular.comment.csv",63

"MIA201807090",74,"Mound Visit"2018MIA.EVN.regular.comment.csv",64

"MIA201807090",88,"$Brewers challenged call that Rojas was hit by pitch; call was upheld - hit by pitch"2018MIA.EVN.regular.comment.csv",65

"MIA201807090",89,"Mound Visit"2018MIA.EVN.regular.comment.csv",66

"MIA201807100",12,"Mound Visit"2018MIA.EVN.regular.comment.csv",67

"MIA201807100",20,"Mound Visit"2018MIA.EVN.regular.comment.csv",68

"MIA201807100",28,"$Marlins challenged call that Anderson was out at second; call was overturned - safe on error"2018MIA.EVN.regular.comment.csv",69

"MIA201807100",56,"Mound Visit"2018MIA.EVN.regular.comment.csv",70

"MIA201807100",73,"Mound Visit"2018MIA.EVN.regular.comment.csv",71

"MIA201807110",33,"Mound Visit"2018MIA.EVN.regular.comment.csv",72

"MIA201807110",35,"Mound Visit"2018MIA.EVN.regular.comment.csv",73

"MIA201807110",38,"Mound Visit"2018MIA.EVN.regular.comment.csv",74

"MIA201807110",55,"Mound Visit"2018MIA.EVN.regular.comment.csv",75

"MIA201807110",67,"Mound Visit"2018MIA.EVN.regular.comment.csv",76

"MIA201807110",77,"Mound Visit"2018MIA.EVN.regular.comment.csv",77

"MIA201807110",79,"Mound Visit"2018MIA.EVN.regular.comment.csv",78

"MIA201807110",99,"Mound Visit"2018MIA.EVN.regular.comment.csv",79

"MIA201807130",54,"Mound Visit"2018MIA.EVN.regular.comment.csv",80

"MIA201807140",43,"Mound Visit"2018MIA.EVN.regular.comment.csv",81

"MIA201807140",50,"$Marlins challenged call that Alfaro was safe at first; call was upheld - force out, no double play"2018MIA.EVN.regular.comment.csv",82

"MIA201807140",55,"Mound Visit"2018MIA.EVN.regular.comment.csv",83

"MIA201807140",68,"Mound Visit"2018MIA.EVN.regular.comment.csv",84

"MIA201807150",24,"$Marlins challenged call that Realmuto was out at first; call was overturned - single"2018MIA.EVN.regular.comment.csv",85

"MIA201807150",28,"Mound Visit"2018MIA.EVN.regular.comment.csv",86

"MIA201807150",30,"Mound Visit"2018MIA.EVN.regular.comment.csv",87

"MIA201807150",44,"Mound Visit"2018MIA.EVN.regular.comment.csv",88

"MIA201807150",46,"Mound Visit"2018MIA.EVN.regular.comment.csv",89

"MIA201807150",51,"Mound Visit"2018MIA.EVN.regular.comment.csv",90

"MIA201807150",63,"Mound Visit"2018MIA.EVN.regular.comment.csv",91

"MIA201807150",67,"Mound Visit"2018MIA.EVN.regular.comment.csv",92

"MIA201807150",71,"$Batter interference"2018MIA.EVN.regular.comment.csv",93

"MIA201807150",73,"Mound Visit"2018MIA.EVN.regular.comment.csv",94

"MIA201807230",2,"Mound Visit"2018MIA.EVN.regular.comment.csv",95

"MIA201807230",15,"Mound Visit"2018MIA.EVN.regular.comment.csv",96

"MIA201807230",17,"Mound Visit"2018MIA.EVN.regular.comment.csv",97

"MIA201807230",23,"Mound Visit"2018MIA.EVN.regular.comment.csv",98

"MIA201807230",49,"Mound Visit"2018MIA.EVN.regular.comment.csv",99

"MIA201807230",60,"Mound Visit"2018MIA.EVN.regular.comment.csv",100

"MIA201807230",77,"Mound Visit"2018MIA.EVN.regular.comment.csv",101

"MIA201807240",24,"Mound Visit"2018MIA.EVN.regular.comment.csv",102

"MIA201807240",36,"Mound Visit"2018MIA.EVN.regular.comment.csv",103

"MIA201807240",42,"$Braves challenged call that Chen was safe at home; call was upheld - out on fielder's choice"2018MIA.EVN.regular.comment.csv",104

"MIA201807240",43,"Mound Visit"2018MIA.EVN.regular.comment.csv",105

"MIA201807240",44,"Mound Visit"2018MIA.EVN.regular.comment.csv",106

"MIA201807240",49,"Mound Visit"2018MIA.EVN.regular.comment.csv",107

"MIA201807240",65,"Mound Visit"2018MIA.EVN.regular.comment.csv",108

"MIA201807260",43,"Mound Visit"2018MIA.EVN.regular.comment.csv",109

"MIA201807260",47,"Mound Visit"2018MIA.EVN.regular.comment.csv",110

"MIA201807260",50,"Injury Delay"2018MIA.EVN.regular.comment.csv",111

"MIA201807260",56,"Mound Visit"2018MIA.EVN.regular.comment.csv",112

"MIA201807260",57,"Mound Visit"2018MIA.EVN.regular.comment.csv",113

"MIA201807260",68,"Mound Visit"2018MIA.EVN.regular.comment.csv",114

"MIA201807260",72,"Mound Visit"2018MIA.EVN.regular.comment.csv",115

"MIA201807260",76,"Mound Visit"2018MIA.EVN.regular.comment.csv",116

"MIA201807260",79,"Mound Visit"2018MIA.EVN.regular.comment.csv",117

"MIA201807270",20,"Mound Visit"2018MIA.EVN.regular.comment.csv",118

"MIA201807270",45,"Mound Visit"2018MIA.EVN.regular.comment.csv",119

"MIA201807270",66,"Mound Visit"2018MIA.EVN.regular.comment.csv",120

"MIA201807270",74,"Mound Visit"2018MIA.EVN.regular.comment.csv",121

"MIA201807280",16,"$Nationals challenged call that Rivera was safe on pickoff attempt after 5th pitch; call was upheld - safe on pickoff attempt"2018MIA.EVN.regular.comment.csv",122

"MIA201807280",29,"Mound Visit"2018MIA.EVN.regular.comment.csv",123

"MIA201807280",31,"Mound Visit"2018MIA.EVN.regular.comment.csv",124

"MIA201807280",43,"Mound Visit"2018MIA.EVN.regular.comment.csv",125

"MIA201807280",62,"Mound Visit"2018MIA.EVN.regular.comment.csv",126

"MIA201807280",65,"Mound Visit"2018MIA.EVN.regular.comment.csv",127

"MIA201807280",78,"Mound Visit $Catcher obstructed batter while trying to field bunt"2018MIA.EVN.regular.comment.csv",128

"MIA201807280",79,"Mound Visit"2018MIA.EVN.regular.comment.csv",129

"MIA201807280",80,"$Run originally scored as unearned, changed to earned on 07-30-2018"2018MIA.EVN.regular.comment.csv",130

"MIA201807290",22,"Mound Visit"2018MIA.EVN.regular.comment.csv",131

"MIA201807290",27,"Mound Visit"2018MIA.EVN.regular.comment.csv",132

"MIA201807290",43,"Mound Visit"2018MIA.EVN.regular.comment.csv",133

"MIA201807290",45,"Mound Visit"2018MIA.EVN.regular.comment.csv",134

"MIA201807290",67,"Mound Visit"2018MIA.EVN.regular.comment.csv",135

"MIA201807290",68,"Mound Visit"2018MIA.EVN.regular.comment.csv",136

"MIA201808060",11,"On-field Delay"2018MIA.EVN.regular.comment.csv",137

"MIA201808060",23,"Mound Visit"2018MIA.EVN.regular.comment.csv",138

"MIA201808060",39,"Mound Visit"2018MIA.EVN.regular.comment.csv",139

"MIA201808060",40,"Mound Visit"2018MIA.EVN.regular.comment.csv",140

"MIA201808060",46,"Mound Visit"2018MIA.EVN.regular.comment.csv",141

"MIA201808060",50,"Mound Visit"2018MIA.EVN.regular.comment.csv",142

"MIA201808060",65,"Mound Visit Mound Visit"2018MIA.EVN.regular.comment.csv",143

"MIA201808060",68,"Mound Visit"2018MIA.EVN.regular.comment.csv",144

"MIA201808070",46,"Mound Visit"2018MIA.EVN.regular.comment.csv",145

"MIA201808070",51,"Mound Visit"2018MIA.EVN.regular.comment.csv",146

"MIA201808070",63,"Mound Visit"2018MIA.EVN.regular.comment.csv",147

"MIA201808070",67,"Mound Visit"2018MIA.EVN.regular.comment.csv",148

"MIA201808080",40,"Mound Visit"2018MIA.EVN.regular.comment.csv",149

"MIA201808080",41,"Mound Visit"2018MIA.EVN.regular.comment.csv",150

"MIA201808080",50,"Mound Visit"2018MIA.EVN.regular.comment.csv",151

"MIA201808080",57,"Injury Delay"2018MIA.EVN.regular.comment.csv",152

"MIA201808100",41,"Mound Visit"2018MIA.EVN.regular.comment.csv",153

"MIA201808100",44,"Mound Visit"2018MIA.EVN.regular.comment.csv",154

"MIA201808100",58,"Mound Visit"2018MIA.EVN.regular.comment.csv",155

"MIA201808100",63,"Mound Visit"2018MIA.EVN.regular.comment.csv",156

"MIA201808100",73,"Mound Visit"2018MIA.EVN.regular.comment.csv",157

"MIA201808110",25,"Mound Visit"2018MIA.EVN.regular.comment.csv",158

"MIA201808110",26,"Mound Visit"2018MIA.EVN.regular.comment.csv",159

"MIA201808110",39,"Mound Visit"2018MIA.EVN.regular.comment.csv",160

"MIA201808110",44,"Mound Visit"2018MIA.EVN.regular.comment.csv",161

"MIA201808110",53,"Mound Visit"2018MIA.EVN.regular.comment.csv",162

"MIA201808110",61,"Mound Visit"2018MIA.EVN.regular.comment.csv",163

"MIA201808110",68,"Mound Visit"2018MIA.EVN.regular.comment.csv",164

"MIA201808110",70,"Mound Visit"2018MIA.EVN.regular.comment.csv",165

"MIA201808110",81,"Mound Visit"2018MIA.EVN.regular.comment.csv",166

"MIA201808120",15,"$Marlins challenged call that Bautista was safe at second; call was upheld - safe on wild pitch"2018MIA.EVN.regular.comment.csv",167

"MIA201808120",55,"Mound Visit"2018MIA.EVN.regular.comment.csv",168

"MIA201808120",63,"Mound Visit"2018MIA.EVN.regular.comment.csv",169

"MIA201808120",72,"On-field Delay"2018MIA.EVN.regular.comment.csv",170

"MIA201808120",73,"$Umpire review for fan interference on first ball hit by McNeil; call was upheld - foul ball"2018MIA.EVN.regular.comment.csv",171

"MIA201808120",75,"Mound Visit"2018MIA.EVN.regular.comment.csv",172

"MIA201808120",77,"Mound Visit"2018MIA.EVN.regular.comment.csv",173

"MIA201808120",77,"Mound Visit"2018MIA.EVN.regular.comment.csv",174

"MIA201808210",6,"$Yankees challenged call that Ortega was safe on pickoff attempt before 1st pitch; call was overturned - out on pickoff"2018MIA.EVN.regular.comment.csv",175

"MIA201808210",28,"Mound Visit"2018MIA.EVN.regular.comment.csv",176

"MIA201808210",29,"Mound Visit"2018MIA.EVN.regular.comment.csv",177

"MIA201808210",61,"Mound Visit"2018MIA.EVN.regular.comment.csv",178

"MIA201808210",87,"Mound Visit"2018MIA.EVN.regular.comment.csv",179

"MIA201808210",92,"Mound Visit"2018MIA.EVN.regular.comment.csv",180

"MIA201808210",94,"Injury Delay Mound Visit"2018MIA.EVN.regular.comment.csv",181

"MIA201808210",98,"Injury Delay"2018MIA.EVN.regular.comment.csv",182

"MIA201808210",101,"$Marlins challenged call that Galloway was out at 2nd; call was upheld - out on caught stealing"2018MIA.EVN.regular.comment.csv",183

"MIA201808220",33,"Injury Delay"2018MIA.EVN.regular.comment.csv",184

"MIA201808220",41,"Mound Visit"2018MIA.EVN.regular.comment.csv",185

"MIA201808220",42,"Mound Visit"2018MIA.EVN.regular.comment.csv",186

"MIA201808220",47,"Mound Visit"2018MIA.EVN.regular.comment.csv",187

"MIA201808220",48,"Mound Visit"2018MIA.EVN.regular.comment.csv",188

"MIA201808220",50,"Mound Visit"2018MIA.EVN.regular.comment.csv",189

"MIA201808220",56,"Mound Visit"2018MIA.EVN.regular.comment.csv",190

"MIA201808220",57,"Mound Visit"2018MIA.EVN.regular.comment.csv",191

"MIA201808220",58,"Mound Visit"2018MIA.EVN.regular.comment.csv",192

"MIA201808220",61,"Mound Visit"2018MIA.EVN.regular.comment.csv",193

"MIA201808220",62,"Mound Visit"2018MIA.EVN.regular.comment.csv",194

"MIA201808220",64,"Mound Visit"2018MIA.EVN.regular.comment.csv",195

"MIA201808220",74,"Mound Visit"2018MIA.EVN.regular.comment.csv",196

"MIA201808220",75,"Mound Visit"2018MIA.EVN.regular.comment.csv",197

"MIA201808220",79,"Mound Visit"2018MIA.EVN.regular.comment.csv",198

"MIA201808230",18,"Mound Visit"2018MIA.EVN.regular.comment.csv",199

"MIA201808230",20,"$Braves challenged that 4th pitch was hit foul by Freeman; call Was upheld - foul"2018MIA.EVN.regular.comment.csv",200

"MIA201808230",34,"Mound Visit"2018MIA.EVN.regular.comment.csv",201

"MIA201808230",35,"Injury Delay"2018MIA.EVN.regular.comment.csv",202

"MIA201808230",45,"Injury Delay"2018MIA.EVN.regular.comment.csv",203

"MIA201808230",51,"Mound Visit"2018MIA.EVN.regular.comment.csv",204

"MIA201808230",54,"Mound Visit"2018MIA.EVN.regular.comment.csv",205

"MIA201808230",76,"Mound Visit"2018MIA.EVN.regular.comment.csv",206

"MIA201808240",36,"Mound Visit"2018MIA.EVN.regular.comment.csv",207

"MIA201808240",51,"Mound Visit"2018MIA.EVN.regular.comment.csv",208

"MIA201808240",60,"Mound Visit"2018MIA.EVN.regular.comment.csv",209

"MIA201808250",37,"Mound Visit"2018MIA.EVN.regular.comment.csv",210

"MIA201808250",44,"$Marlins challenged call that Duvall was safe at 1st; call was upheld - force out, no double play"2018MIA.EVN.regular.comment.csv",211

"MIA201808250",51,"Injury Delay"2018MIA.EVN.regular.comment.csv",212

"MIA201808250",51,"$Anibal Sanchez left with an injured leg"2018MIA.EVN.regular.comment.csv",213

"MIA201808250",54,"Mound Visit"2018MIA.EVN.regular.comment.csv",214

"MIA201808260",2,"$Marlins challenged call that Acuna touched 2nd, claiming he missed the base; call was upheld - base not missed"2018MIA.EVN.regular.comment.csv",215

"MIA201808260",43,"Mound Visit"2018MIA.EVN.regular.comment.csv",216

"MIA201808260",44,"Mound Visit"2018MIA.EVN.regular.comment.csv",217

"MIA201808260",52,"Mound Visit"2018MIA.EVN.regular.comment.csv",218

"MIA201808260",58,"Mound Visit"2018MIA.EVN.regular.comment.csv",219

"MIA201808260",63,"Mound Visit $Umpire review of play at home - Albies safe on sacrifice fly"2018MIA.EVN.regular.comment.csv",220

"MIA201808310",27,"Mound Visit"2018MIA.EVN.regular.comment.csv",221

"MIA201808310",28,"Mound Visit"2018MIA.EVN.regular.comment.csv",222

"MIA201808310",38,"Mound Visit"2018MIA.EVN.regular.comment.csv",223

"MIA201808310",39,"Mound Visit"2018MIA.EVN.regular.comment.csv",224

"MIA201808310",48,"$Marlins challenged call that pitch to Straily was a ball, claiming it hit him; call was overturned - hit by pitch"2018MIA.EVN.regular.comment.csv",225

"MIA201808310",50,"Mound Visit"2018MIA.EVN.regular.comment.csv",226

"MIA201808310",70,"Mound Visit"2018MIA.EVN.regular.comment.csv",227

"MIA201808310",71,"Mound Visit"2018MIA.EVN.regular.comment.csv",228

"MIA201808310",73,"Mound Visit"2018MIA.EVN.regular.comment.csv",229

"MIA201808310",75,"Mound Visit"2018MIA.EVN.regular.comment.csv",230

"MIA201808310",82,"Mound Visit"2018MIA.EVN.regular.comment.csv",231

"MIA201809010",7,"Mound Visit"2018MIA.EVN.regular.comment.csv",232

"MIA201809010",39,"Mound Visit"2018MIA.EVN.regular.comment.csv",233

"MIA201809010",40,"Mound Visit $Blue Jays challenged call that ball hit by Prado on 1st pitch was foul, claiming fan interference; call was upheld - foul ball"2018MIA.EVN.regular.comment.csv",234

"MIA201809010",58,"Mound Visit"2018MIA.EVN.regular.comment.csv",235

"MIA201809010",63,"Mound Visit Mound Visit"2018MIA.EVN.regular.comment.csv",236

"MIA201809020",13,"Mound Visit"2018MIA.EVN.regular.comment.csv",237

"MIA201809020",20,"Mound Visit"2018MIA.EVN.regular.comment.csv",238

"MIA201809020",43,"Mound Visit"2018MIA.EVN.regular.comment.csv",239

"MIA201809030",18,"Mound Visit"2018MIA.EVN.regular.comment.csv",240

"MIA201809030",43,"Mound Visit"2018MIA.EVN.regular.comment.csv",241

"MIA201809030",49,"Injury Delay"2018MIA.EVN.regular.comment.csv",242

"MIA201809030",51,"Mound Visit"2018MIA.EVN.regular.comment.csv",243

"MIA201809030",56,"Mound Visit"2018MIA.EVN.regular.comment.csv",244

"MIA201809040",7,"Mound Visit"2018MIA.EVN.regular.comment.csv",245

"MIA201809040",18,"Mound Visit"2018MIA.EVN.regular.comment.csv",246

"MIA201809040",52,"Mound Visit"2018MIA.EVN.regular.comment.csv",247

"MIA201809040",74,"Mound Visit"2018MIA.EVN.regular.comment.csv",248

"MIA201809040",80,"Mound Visit"2018MIA.EVN.regular.comment.csv",249

"MIA201809050",3,"$Phillies challenged call that Bour was out at 2nd to start DP; call was overturned - ground out, safe at 2nd"2018MIA.EVN.regular.comment.csv",250

"MIA201809050",14,"$Marlins challenged call that Brinson was out at 1st; call was overturned - single"2018MIA.EVN.regular.comment.csv",251

"MIA201809050",15,"Mound Visit"2018MIA.EVN.regular.comment.csv",252

"MIA201809050",31,"Mound Visit"2018MIA.EVN.regular.comment.csv",253

"MIA201809050",56,"Mound Visit"2018MIA.EVN.regular.comment.csv",254

"MIA201809050",58,"Mound Visit"2018MIA.EVN.regular.comment.csv",255

"MIA201809050",63,"Mound Visit"2018MIA.EVN.regular.comment.csv",256

"MIA201809050",67,"Mound Visit"2018MIA.EVN.regular.comment.csv",257

"MIA201809170",21,"Injury Delay"2018MIA.EVN.regular.comment.csv",258

"MIA201809170",38,"Mound Visit"2018MIA.EVN.regular.comment.csv",259

"MIA201809170",40,"Mound Visit"2018MIA.EVN.regular.comment.csv",260

"MIA201809170",49,"Mound Visit"2018MIA.EVN.regular.comment.csv",261

"MIA201809170",50,"Mound Visit"2018MIA.EVN.regular.comment.csv",262

"MIA201809170",51,"Mound Visit"2018MIA.EVN.regular.comment.csv",263

"MIA201809170",59,"Mound Visit $Nationals challenged call that Robles was out at 2nd, claiming SS was off base; call was upheld - force out"2018MIA.EVN.regular.comment.csv",264

"MIA201809170",62,"Mound Visit"2018MIA.EVN.regular.comment.csv",265

"MIA201809170",63,"Mound Visit"2018MIA.EVN.regular.comment.csv",266

"MIA201809170",71,"Mound Visit"2018MIA.EVN.regular.comment.csv",267

"MIA201809180",14,"Mound Visit"2018MIA.EVN.regular.comment.csv",268

"MIA201809180",33,"Mound Visit"2018MIA.EVN.regular.comment.csv",269

"MIA201809180",47,"Mound Visit"2018MIA.EVN.regular.comment.csv",270

"MIA201809180",49,"Mound Visit"2018MIA.EVN.regular.comment.csv",271

"MIA201809180",53,"Injury Delay"2018MIA.EVN.regular.comment.csv",272

"MIA201809180",54,"Mound Visit"2018MIA.EVN.regular.comment.csv",273

"MIA201809180",66,"Mound Visit"2018MIA.EVN.regular.comment.csv",274

"MIA201809180",70,"Mound Visit"2018MIA.EVN.regular.comment.csv",275

"MIA201809200",17,"Mound Visit"2018MIA.EVN.regular.comment.csv",276

"MIA201809200",23,"Mound Visit"2018MIA.EVN.regular.comment.csv",277

"MIA201809200",49,"Mound Visit"2018MIA.EVN.regular.comment.csv",278

"MIA201809200",64,"Mound Visit"2018MIA.EVN.regular.comment.csv",279

"MIA201809200",66,"Mound Visit Mound Visit"2018MIA.EVN.regular.comment.csv",280

"MIA201809210",52,"Mound Visit"2018MIA.EVN.regular.comment.csv",281

"MIA201809210",53,"$Reds challenged call that Galloway was guilty of slide interference; call was upheld - double play on runner interference"2018MIA.EVN.regular.comment.csv",282

"MIA201809210",53,"On-field Delay"2018MIA.EVN.regular.comment.csv",283

"MIA201809210",61,"Mound Visit"2018MIA.EVN.regular.comment.csv",284

"MIA201809210",63,"Mound Visit"2018MIA.EVN.regular.comment.csv",285

"MIA201809220",31,"Mound Visit"2018MIA.EVN.regular.comment.csv",286

"MIA201809220",40,"Injury Delay"2018MIA.EVN.regular.comment.csv",287

"MIA201809220",42,"Mound Visit"2018MIA.EVN.regular.comment.csv",288

"MIA201809220",48,"Mound Visit"2018MIA.EVN.regular.comment.csv",289

"MIA201809220",49,"Mound Visit"2018MIA.EVN.regular.comment.csv",290

"MIA201809220",67,"Mound Visit"2018MIA.EVN.regular.comment.csv",291

"MIA201809230",16,"Mound Visit"2018MIA.EVN.regular.comment.csv",292

"MIA201809230",47,"Mound Visit"2018MIA.EVN.regular.comment.csv",293

"MIA201809230",48,"Mound Visit"2018MIA.EVN.regular.comment.csv",294

