"KCA201903280",25,"$Royals challenged call Mondesi was safe at third; call was upheld - triple","FILENAME_TX","LINE_NUMBER_CT"
"KCA201904100",87,"Mound Visit","2019KCA.EVA.regular.comment.csv",61
"KCA201904110",45,"Mound Visit","2019KCA.EVA.regular.comment.csv",62
"KCA201904110",56,"Mound Visit","2019KCA.EVA.regular.comment.csv",63
"KCA201904110",57,"Mound Visit","2019KCA.EVA.regular.comment.csv",64
"KCA201904110",63,"Mound Visit","2019KCA.EVA.regular.comment.csv",65
"KCA201904110",65,"Mound Visit","2019KCA.EVA.regular.comment.csv",66
"KCA201904110",73,"Mound Visit","2019KCA.EVA.regular.comment.csv",67
"KCA201904110",77,"Mound Visit","2019KCA.EVA.regular.comment.csv",68
"KCA201904110",79,"Injury Delay","2019KCA.EVA.regular.comment.csv",69
"KCA201904120",1,"Mound Visit","2019KCA.EVA.regular.comment.csv",70
"KCA201904120",9,"Mound Visit","2019KCA.EVA.regular.comment.csv",71
"KCA201904120",13,"Mound Visit","2019KCA.EVA.regular.comment.csv",72
"KCA201904120",55,"Mound Visit","2019KCA.EVA.regular.comment.csv",73
"KCA201904120",62,"Mound Visit","2019KCA.EVA.regular.comment.csv",74
"KCA201904120",70,"Mound Visit","2019KCA.EVA.regular.comment.csv",75
"KCA201904120",76,"Mound Visit","2019KCA.EVA.regular.comment.csv",76
"KCA201904130",33,"Mound Visit","2019KCA.EVA.regular.comment.csv",77
"KCA201904130",43,"Mound Visit","2019KCA.EVA.regular.comment.csv",78
"KCA201904130",50,"Mound Visit","2019KCA.EVA.regular.comment.csv",79
"KCA201904130",52,"Mound Visit","2019KCA.EVA.regular.comment.csv",80
"KCA201904140",0,"Injury Delay","2019KCA.EVA.regular.comment.csv",81
"KCA201904140",31,"Mound Visit","2019KCA.EVA.regular.comment.csv",82
"KCA201904140",35,"Mound Visit","2019KCA.EVA.regular.comment.csv",83
"KCA201904140",51,"Mound Visit","2019KCA.EVA.regular.comment.csv",84
"KCA201904140",52,"Mound Visit","2019KCA.EVA.regular.comment.csv",85
"KCA201904140",52,"Mound Visit","2019KCA.EVA.regular.comment.csv",86
"KCA201904140",61,"Mound Visit","2019KCA.EVA.regular.comment.csv",87
"KCA201904140",63,"Mound Visit","2019KCA.EVA.regular.comment.csv",88
"KCA201904140",66,"Mound Visit","2019KCA.EVA.regular.comment.csv",89
"KCA201904140",67,"Mound Visit","2019KCA.EVA.regular.comment.csv",90
"KCA201904140",77,"Mound Visit","2019KCA.EVA.regular.comment.csv",91
"KCA201904260",32,"Mound Visit Mound Visit","2019KCA.EVA.regular.comment.csv",92
"KCA201904260",45,"Mound Visit","2019KCA.EVA.regular.comment.csv",93
"KCA201904260",48,"Mound Visit","2019KCA.EVA.regular.comment.csv",94
"KCA201904270",26,"Mound Visit","2019KCA.EVA.regular.comment.csv",95
"KCA201904270",27,"Mound Visit","2019KCA.EVA.regular.comment.csv",96
"KCA201904270",32,"Mound Visit","2019KCA.EVA.regular.comment.csv",97
"KCA201904270",36,"Mound Visit","2019KCA.EVA.regular.comment.csv",98
"KCA201904270",37,"Mound Visit","2019KCA.EVA.regular.comment.csv",99
"KCA201904270",40,"Mound Visit","2019KCA.EVA.regular.comment.csv",100
"KCA201904270",47,"$Hamilton left with an injured leg","2019KCA.EVA.regular.comment.csv",101
"KCA201904270",58,"Mound Visit","2019KCA.EVA.regular.comment.csv",102
"KCA201904270",59,"Mound Visit","2019KCA.EVA.regular.comment.csv",103
"KCA201904280",4,"Mound Visit","2019KCA.EVA.regular.comment.csv",104
"KCA201904280",64,"Mound Visit","2019KCA.EVA.regular.comment.csv",105
"KCA201904280",78,"$Royals challenged call that Gutierrez was out at home, claiming pitcher blocked plate without ball; call was overturned - safe on wild pitch","2019KCA.EVA.regular.comment.csv",106
"KCA201904290",12,"Mound Visit","2019KCA.EVA.regular.comment.csv",107
"KCA201904290",19,"Mound Visit","2019KCA.EVA.regular.comment.csv",108
"KCA201904290",27,"Mound Visit","2019KCA.EVA.regular.comment.csv",109
"KCA201904290",40,"Mound Visit","2019KCA.EVA.regular.comment.csv",110
"KCA201904290",56,"Mound Visit","2019KCA.EVA.regular.comment.csv",111
"KCA201904290",61,"Mound Visit","2019KCA.EVA.regular.comment.csv",112
"KCA201904290",66,"Mound Visit","2019KCA.EVA.regular.comment.csv",113
"KCA201904290",81,"Mound Visit","2019KCA.EVA.regular.comment.csv",114
"KCA201905011",7,"Mound Visit","2019KCA.EVA.regular.comment.csv",115
"KCA201905011",18,"Mound Visit","2019KCA.EVA.regular.comment.csv",116
"KCA201905011",28,"Injury Delay","2019KCA.EVA.regular.comment.csv",117
"KCA201905011",29,"Mound Visit","2019KCA.EVA.regular.comment.csv",118
"KCA201905011",34,"$Rays challenged call that Garcia was out at 2nd on appeal; play was deep fly and both runners took off; Garcia had had rounded 2nd and did not touch bag on way back to 1st; Royals appealed and Garcia was out; call was upheld - out to complete double play","2019KCA.EVA.regular.comment.csv",119
"KCA201905011",52,"Mound Visit","2019KCA.EVA.regular.comment.csv",120
"KCA201905011",54,"Mound Visit","2019KCA.EVA.regular.comment.csv",121
"KCA201905011",59,"Mound Visit","2019KCA.EVA.regular.comment.csv",122
"KCA201905011",67,"Mound Visit","2019KCA.EVA.regular.comment.csv",123
"KCA201905011",72,"Mound Visit","2019KCA.EVA.regular.comment.csv",124
"KCA201905012",11,"Mound Visit","2019KCA.EVA.regular.comment.csv",125
"KCA201905012",17,"$Rays challenged call that Hamilton was safe at 1st; call was overturned - ground out","2019KCA.EVA.regular.comment.csv",126
"KCA201905012",37,"Mound Visit","2019KCA.EVA.regular.comment.csv",127
"KCA201905012",75,"Mound Visit","2019KCA.EVA.regular.comment.csv",128
"KCA201905020",53,"Mound Visit","2019KCA.EVA.regular.comment.csv",129
"KCA201905020",55,"Mound Visit","2019KCA.EVA.regular.comment.csv",130
"KCA201905020",58,"Mound Visit","2019KCA.EVA.regular.comment.csv",131
"KCA201905100",13,"Mound Visit","2019KCA.EVA.regular.comment.csv",132
"KCA201905100",46,"Mound Visit","2019KCA.EVA.regular.comment.csv",133
"KCA201905100",48,"Mound Visit","2019KCA.EVA.regular.comment.csv",134
"KCA201905100",52,"Mound Visit","2019KCA.EVA.regular.comment.csv",135
"KCA201905100",61,"Mound Visit","2019KCA.EVA.regular.comment.csv",136
"KCA201905100",65,"Mound Visit","2019KCA.EVA.regular.comment.csv",137
"KCA201905100",67,"Mound Visit","2019KCA.EVA.regular.comment.csv",138
"KCA201905100",68,"Injury Delay","2019KCA.EVA.regular.comment.csv",139
"KCA201905100",70,"Mound Visit","2019KCA.EVA.regular.comment.csv",140
"KCA201905110",18,"Mound Visit","2019KCA.EVA.regular.comment.csv",141
"KCA201905110",37,"Mound Visit","2019KCA.EVA.regular.comment.csv",142
"KCA201905110",46,"Mound Visit","2019KCA.EVA.regular.comment.csv",143
"KCA201905110",70,"Mound Visit","2019KCA.EVA.regular.comment.csv",144
"KCA201905110",72,"Mound Visit","2019KCA.EVA.regular.comment.csv",145
"KCA201905120",23,"$Royals challenged call that Gallagher was out at home; call was overturned - score on single","2019KCA.EVA.regular.comment.csv",146
"KCA201905120",37,"Mound Visit","2019KCA.EVA.regular.comment.csv",147
"KCA201905120",38,"Mound Visit","2019KCA.EVA.regular.comment.csv",148
"KCA201905120",53,"Mound Visit","2019KCA.EVA.regular.comment.csv",149
"KCA201905140",8,"Mound Visit","2019KCA.EVA.regular.comment.csv",150
"KCA201905140",15,"Mound Visit","2019KCA.EVA.regular.comment.csv",151
"KCA201905140",21,"Mound Visit","2019KCA.EVA.regular.comment.csv",152
"KCA201905140",29,"Mound Visit","2019KCA.EVA.regular.comment.csv",153
"KCA201905140",30,"Mound Visit","2019KCA.EVA.regular.comment.csv",154
"KCA201905140",59,"Mound Visit","2019KCA.EVA.regular.comment.csv",155
"KCA201905140",64,"Mound Visit","2019KCA.EVA.regular.comment.csv",156
"KCA201905140",74,"Mound Visit","2019KCA.EVA.regular.comment.csv",157
"KCA201905140",81,"Injury Delay","2019KCA.EVA.regular.comment.csv",158
"KCA201905140",83,"Mound Visit","2019KCA.EVA.regular.comment.csv",159
"KCA201905150",23,"Injury Delay","2019KCA.EVA.regular.comment.csv",160
"KCA201905150",40,"Mound Visit","2019KCA.EVA.regular.comment.csv",161
"KCA201905150",45,"Mound Visit","2019KCA.EVA.regular.comment.csv",162
"KCA201905150",54,"Mound Visit","2019KCA.EVA.regular.comment.csv",163
"KCA201905150",55,"Mound Visit","2019KCA.EVA.regular.comment.csv",164
"KCA201905150",67,"Mound Visit","2019KCA.EVA.regular.comment.csv",165
"KCA201905150",81,"Mound Visit","2019KCA.EVA.regular.comment.csv",166
"KCA201905160",37,"Mound Visit","2019KCA.EVA.regular.comment.csv",167
"KCA201905160",40,"Mound Visit","2019KCA.EVA.regular.comment.csv",168
"KCA201905160",41,"$originally scored as no RBI, changed to RBI for first run on 05-17-2019","2019KCA.EVA.regular.comment.csv",169
"KCA201905160",49,"Mound Visit","2019KCA.EVA.regular.comment.csv",170
"KCA201905160",54,"Mound Visit Mound Visit","2019KCA.EVA.regular.comment.csv",171
"KCA201905160",73,"Mound Visit","2019KCA.EVA.regular.comment.csv",172
"KCA201905160",93,"Mound Visit","2019KCA.EVA.regular.comment.csv",173
"KCA201905251",27,"Mound Visit","2019KCA.EVA.regular.comment.csv",174
"KCA201905251",34,"Mound Visit","2019KCA.EVA.regular.comment.csv",175
"KCA201905251",44,"Mound Visit","2019KCA.EVA.regular.comment.csv",176
"KCA201905251",59,"Mound Visit","2019KCA.EVA.regular.comment.csv",177
"KCA201905251",60,"Mound Visit","2019KCA.EVA.regular.comment.csv",178
"KCA201905251",70,"Mound Visit","2019KCA.EVA.regular.comment.csv",179
"KCA201905252",13,"Mound Visit","2019KCA.EVA.regular.comment.csv",180
"KCA201905252",15,"Mound Visit","2019KCA.EVA.regular.comment.csv",181
"KCA201905252",26,"Mound Visit","2019KCA.EVA.regular.comment.csv",182
"KCA201905252",38,"Mound Visit","2019KCA.EVA.regular.comment.csv",183
"KCA201905252",43,"Mound Visit","2019KCA.EVA.regular.comment.csv",184
"KCA201905260",18,"On-field Delay $Batter interference","2019KCA.EVA.regular.comment.csv",185
"KCA201905260",33,"Injury Delay","2019KCA.EVA.regular.comment.csv",186
"KCA201905260",48,"Mound Visit","2019KCA.EVA.regular.comment.csv",187
"KCA201905260",75,"Mound Visit","2019KCA.EVA.regular.comment.csv",188
"KCA201905260",82,"Mound Visit","2019KCA.EVA.regular.comment.csv",189
"KCA201905260",91,"Mound Visit","2019KCA.EVA.regular.comment.csv",190
"KCA201906040",38,"Mound Visit","2019KCA.EVA.regular.comment.csv",191
"KCA201906040",39,"Mound Visit","2019KCA.EVA.regular.comment.csv",192
"KCA201906040",40,"$Umpire review of ball hit by Martinez; call upheld - triple","2019KCA.EVA.regular.comment.csv",193
"KCA201906040",41,"Mound Visit","2019KCA.EVA.regular.comment.csv",194
"KCA201906040",48,"Mound Visit","2019KCA.EVA.regular.comment.csv",195
"KCA201906050",6,"$Red Sox challenged call that Devers was out at 2nd; call was overturned - stolend base","2019KCA.EVA.regular.comment.csv",196
"KCA201906050",28,"$Red Sox challenged call that Merrifield was safe at 1st; call was overturned - pickoff at first","2019KCA.EVA.regular.comment.csv",197
"KCA201906050",39,"Mound Visit","2019KCA.EVA.regular.comment.csv",198
"KCA201906050",42,"Mound Visit","2019KCA.EVA.regular.comment.csv",199
"KCA201906060",12,"Injury Delay","2019KCA.EVA.regular.comment.csv",200
"KCA201906060",17,"Mound Visit","2019KCA.EVA.regular.comment.csv",201
"KCA201906060",20,"Injury Delay","2019KCA.EVA.regular.comment.csv",202
"KCA201906060",25,"Mound Visit","2019KCA.EVA.regular.comment.csv",203
"KCA201906060",38,"Mound Visit","2019KCA.EVA.regular.comment.csv",204
"KCA201906060",39,"Mound Visit","2019KCA.EVA.regular.comment.csv",205
"KCA201906060",42,"$Martinez left with an injured back","2019KCA.EVA.regular.comment.csv",206
"KCA201906060",52,"Mound Visit","2019KCA.EVA.regular.comment.csv",207
"KCA201906060",57,"Mound Visit","2019KCA.EVA.regular.comment.csv",208
"KCA201906060",75,"Mound Visit","2019KCA.EVA.regular.comment.csv",209
"KCA201906070",36,"Mound Visit","2019KCA.EVA.regular.comment.csv",210
"KCA201906070",46,"Mound Visit","2019KCA.EVA.regular.comment.csv",211
"KCA201906070",48,"Mound Visit","2019KCA.EVA.regular.comment.csv",212
"KCA201906070",52,"Mound Visit","2019KCA.EVA.regular.comment.csv",213
"KCA201906070",55,"$White Sox challenged call of no slide interference at 2nd; call was upheld - force out, no interference","2019KCA.EVA.regular.comment.csv",214
"KCA201906070",56,"Mound Visit","2019KCA.EVA.regular.comment.csv",215
"KCA201906070",58,"Mound Visit","2019KCA.EVA.regular.comment.csv",216
"KCA201906070",61,"Mound Visit","2019KCA.EVA.regular.comment.csv",217
"KCA201906070",66,"Mound Visit","2019KCA.EVA.regular.comment.csv",218
"KCA201906070",74,"Mound Visit","2019KCA.EVA.regular.comment.csv",219
"KCA201906080",39,"Mound Visit","2019KCA.EVA.regular.comment.csv",220
"KCA201906080",43,"Mound Visit ej,yoste001,M,drecb901,Arguing balls and strikes $Kansas Citymanager Yost ejected by HP umpire Dreckman after called strike one to Gordon","2019KCA.EVA.regular.comment.csv",221
"KCA201906080",58,"Mound Visit","2019KCA.EVA.regular.comment.csv",222
"KCA201906090",52,"Mound Visit","2019KCA.EVA.regular.comment.csv",223
"KCA201906090",63,"Mound Visit","2019KCA.EVA.regular.comment.csv",224
"KCA201906110",16,"Injury Delay Mound Visit","2019KCA.EVA.regular.comment.csv",225
"KCA201906110",19,"$Goodrum left with injured knee","2019KCA.EVA.regular.comment.csv",226
"KCA201906110",62,"Mound Visit","2019KCA.EVA.regular.comment.csv",227
"KCA201906110",66,"Mound Visit","2019KCA.EVA.regular.comment.csv",228
"KCA201906120",2,"Mound Visit","2019KCA.EVA.regular.comment.csv",229
"KCA201906120",19,"$Royals challenged call that Gore was out at 2nd; call was overturned - stolen base","2019KCA.EVA.regular.comment.csv",230
"KCA201906120",30,"Mound Visit","2019KCA.EVA.regular.comment.csv",231
"KCA201906120",47,"Mound Visit","2019KCA.EVA.regular.comment.csv",232
"KCA201906120",65,"Mound Visit Mound Visit","2019KCA.EVA.regular.comment.csv",233
"KCA201906130",0,"$Game played at TD Ameritrade Park in Omaha, Nebraska","2019KCA.EVA.regular.comment.csv",234
"KCA201906130",33,"Mound Visit","2019KCA.EVA.regular.comment.csv",235
"KCA201906130",37,"On-field Delay","2019KCA.EVA.regular.comment.csv",236
"KCA201906130",38,"Mound Visit","2019KCA.EVA.regular.comment.csv",237
"KCA201906130",51,"Mound Visit","2019KCA.EVA.regular.comment.csv",238
"KCA201906130",68,"Mound Visit","2019KCA.EVA.regular.comment.csv",239
"KCA201906130",69,"Mound Visit","2019KCA.EVA.regular.comment.csv",240
"KCA201906130",73,"Mound Visit","2019KCA.EVA.regular.comment.csv",241
"KCA201906130",81,"Mound Visit","2019KCA.EVA.regular.comment.csv",242
"KCA201906200",9,"Mound Visit","2019KCA.EVA.regular.comment.csv",243
"KCA201906200",29,"Mound Visit","2019KCA.EVA.regular.comment.csv",244
"KCA201906200",34,"Mound Visit","2019KCA.EVA.regular.comment.csv",245
"KCA201906200",54,"$Garver left with injured foot","2019KCA.EVA.regular.comment.csv",246
"KCA201906200",63,"Mound Visit","2019KCA.EVA.regular.comment.csv",247
"KCA201906200",64,"$Twins challenged call that Gore was safe at 3rd; call was upheld - stolen base","2019KCA.EVA.regular.comment.csv",248
"KCA201906210",12,"Mound Visit","2019KCA.EVA.regular.comment.csv",249
"KCA201906210",29,"$Twins challenged call that Cron was out at 1st; call was upheld - ground out","2019KCA.EVA.regular.comment.csv",250
"KCA201906210",41,"Mound Visit","2019KCA.EVA.regular.comment.csv",251
"KCA201906210",47,"Injury Delay Mound Visit","2019KCA.EVA.regular.comment.csv",252
"KCA201906210",62,"Mound Visit","2019KCA.EVA.regular.comment.csv",253
"KCA201906210",70,"Mound Visit","2019KCA.EVA.regular.comment.csv",254
"KCA201906210",72,"Mound Visit","2019KCA.EVA.regular.comment.csv",255
"KCA201906210",74,"Mound Visit","2019KCA.EVA.regular.comment.csv",256
"KCA201906210",78,"Mound Visit","2019KCA.EVA.regular.comment.csv",257
"KCA201906210",80,"Mound Visit","2019KCA.EVA.regular.comment.csv",258
"KCA201906220",50,"Mound Visit","2019KCA.EVA.regular.comment.csv",259
"KCA201906220",54,"Mound Visit","2019KCA.EVA.regular.comment.csv",260
"KCA201906220",59,"Mound Visit Injury Delay","2019KCA.EVA.regular.comment.csv",261
"KCA201906220",59,"$Berrios left with injured hand","2019KCA.EVA.regular.comment.csv",262
"KCA201906220",63,"Mound Visit","2019KCA.EVA.regular.comment.csv",263
"KCA201906220",76,"Mound Visit","2019KCA.EVA.regular.comment.csv",264
"KCA201906220",77,"Mound Visit","2019KCA.EVA.regular.comment.csv",265
"KCA201906220",85,"Mound Visit","2019KCA.EVA.regular.comment.csv",266
"KCA201906230",30,"Mound Visit","2019KCA.EVA.regular.comment.csv",267
"KCA201906230",31,"Mound Visit","2019KCA.EVA.regular.comment.csv",268
"KCA201906230",47,"Mound Visit","2019KCA.EVA.regular.comment.csv",269
"KCA201906230",57,"Mound Visit","2019KCA.EVA.regular.comment.csv",270
"KCA201906230",58,"Mound Visit Injury Delay","2019KCA.EVA.regular.comment.csv",271
"KCA201907020",20,"Mound Visit","2019KCA.EVA.regular.comment.csv",272
"KCA201907020",23,"Mound Visit","2019KCA.EVA.regular.comment.csv",273
"KCA201907020",39,"Mound Visit","2019KCA.EVA.regular.comment.csv",274
"KCA201907020",52,"$Center fielder originally credited with assist which was removed on 07-03-2019 since if runner had been safe, the center fielder would have been charged with an error","2019KCA.EVA.regular.comment.csv",275
"KCA201907020",60,"Mound Visit","2019KCA.EVA.regular.comment.csv",276
"KCA201907020",61,"Mound Visit","2019KCA.EVA.regular.comment.csv",277
"KCA201907020",63,"Mound Visit","2019KCA.EVA.regular.comment.csv",278
"KCA201907020",69,"Mound Visit","2019KCA.EVA.regular.comment.csv",279
"KCA201907020",71,"Mound Visit","2019KCA.EVA.regular.comment.csv",280
"KCA201907030",3,"Injury Delay","2019KCA.EVA.regular.comment.csv",281
"KCA201907030",40,"Mound Visit","2019KCA.EVA.regular.comment.csv",282
"KCA201907030",50,"Mound Visit","2019KCA.EVA.regular.comment.csv",283
"KCA201907030",51,"Mound Visit","2019KCA.EVA.regular.comment.csv",284
"KCA201907030",60,"Mound Visit","2019KCA.EVA.regular.comment.csv",285
"KCA201907030",70,"Mound Visit","2019KCA.EVA.regular.comment.csv",286
"KCA201907040",19,"Injury Delay","2019KCA.EVA.regular.comment.csv",287
"KCA201907040",21,"Mound Visit","2019KCA.EVA.regular.comment.csv",288
"KCA201907040",22,"$Originally scored as single, changed to SH with dropped catch error on 07-16-2019, making run unearned","2019KCA.EVA.regular.comment.csv",289
"KCA201907040",24,"Mound Visit","2019KCA.EVA.regular.comment.csv",290
"KCA201907040",25,"Mound Visit","2019KCA.EVA.regular.comment.csv",291
"KCA201907040",38,"Mound Visit","2019KCA.EVA.regular.comment.csv",292
"KCA201907040",44,"Mound Visit","2019KCA.EVA.regular.comment.csv",293
"KCA201907040",49,"Mound Visit","2019KCA.EVA.regular.comment.csv",294
"KCA201907040",50,"Mound Visit","2019KCA.EVA.regular.comment.csv",295
"KCA201907040",55,"Mound Visit","2019KCA.EVA.regular.comment.csv",296
"KCA201907040",57,"Mound Visit Mound Visit","2019KCA.EVA.regular.comment.csv",297
"KCA201907120",21,"Injury Delay","2019KCA.EVA.regular.comment.csv",298
"KCA201907120",25,"Mound Visit Injury Delay","2019KCA.EVA.regular.comment.csv",299
"KCA201907120",25,"$Duffy left with an injured hand","2019KCA.EVA.regular.comment.csv",300
"KCA201907120",33,"Mound Visit","2019KCA.EVA.regular.comment.csv",301
"KCA201907120",39,"Injury Delay","2019KCA.EVA.regular.comment.csv",302
"KCA201907120",63,"Injury Delay","2019KCA.EVA.regular.comment.csv",303
"KCA201907120",67,"Mound Visit","2019KCA.EVA.regular.comment.csv",304
"KCA201907130",34,"Mound Visit","2019KCA.EVA.regular.comment.csv",305
"KCA201907130",43,"Mound Visit","2019KCA.EVA.regular.comment.csv",306
"KCA201907130",51,"Mound Visit","2019KCA.EVA.regular.comment.csv",307
"KCA201907130",55,"Mound Visit","2019KCA.EVA.regular.comment.csv",308
"KCA201907130",56,"Mound Visit","2019KCA.EVA.regular.comment.csv",309
"KCA201907140",25,"Mound Visit","2019KCA.EVA.regular.comment.csv",310
"KCA201907140",26,"Mound Visit","2019KCA.EVA.regular.comment.csv",311
"KCA201907140",53,"Mound Visit","2019KCA.EVA.regular.comment.csv",312
"KCA201907140",54,"Mound Visit","2019KCA.EVA.regular.comment.csv",313
"KCA201907140",66,"Mound Visit","2019KCA.EVA.regular.comment.csv",314
"KCA201907140",68,"Mound Visit","2019KCA.EVA.regular.comment.csv",315
"KCA201907150",18,"Injury Delay","2019KCA.EVA.regular.comment.csv",316
"KCA201907150",25,"Mound Visit","2019KCA.EVA.regular.comment.csv",317
"KCA201907150",30,"Mound Visit","2019KCA.EVA.regular.comment.csv",318
"KCA201907150",51,"Mound Visit","2019KCA.EVA.regular.comment.csv",319
"KCA201907150",64,"Mound Visit","2019KCA.EVA.regular.comment.csv",320
"KCA201907150",66,"Mound Visit","2019KCA.EVA.regular.comment.csv",321
"KCA201907150",67,"Mound Visit","2019KCA.EVA.regular.comment.csv",322
"KCA201907150",71,"Injury Delay","2019KCA.EVA.regular.comment.csv",323
"KCA201907150",73,"Mound Visit","2019KCA.EVA.regular.comment.csv",324
"KCA201907160",4,"Injury Delay","2019KCA.EVA.regular.comment.csv",325
"KCA201907160",4,"$Jimenez left with an injured elbow","2019KCA.EVA.regular.comment.csv",326
"KCA201907160",36,"$Royals challenged call that Merrifield was out at home; call was overturned - safe for inside park home run","2019KCA.EVA.regular.comment.csv",327
"KCA201907160",39,"Injury Delay","2019KCA.EVA.regular.comment.csv",328
"KCA201907160",54,"Mound Visit","2019KCA.EVA.regular.comment.csv",329
"KCA201907160",72,"ej,solej001,P,hallt901,Called third strike $Soler ejected by HP umpire Hallion for arguing called third strike","2019KCA.EVA.regular.comment.csv",330
"KCA201907170",40,"Mound Visit Mound Visit","2019KCA.EVA.regular.comment.csv",331
"KCA201907170",42,"Mound Visit","2019KCA.EVA.regular.comment.csv",332
"KCA201907170",46,"Mound Visit","2019KCA.EVA.regular.comment.csv",333
"KCA201907170",62,"Mound Visit","2019KCA.EVA.regular.comment.csv",334
"KCA201907170",73,"Mound Visit","2019KCA.EVA.regular.comment.csv",335
