"NYN201904040",10,"Mound Visit"FILENAME_TX","LINE_NUMBER_CT"
"NYN201905240",17,"Mound Visit"2019NYN.EVN.regular.comment.csv",167

"NYN201905240",36,"Mound Visit"2019NYN.EVN.regular.comment.csv",168

"NYN201905240",40,"Mound Visit"2019NYN.EVN.regular.comment.csv",169

"NYN201905240",53,"Mound Visit"2019NYN.EVN.regular.comment.csv",170

"NYN201905240",65,"Mound Visit"2019NYN.EVN.regular.comment.csv",171

"NYN201905240",67,"Mound Visit"2019NYN.EVN.regular.comment.csv",172

"NYN201905240",78,"Mound Visit"2019NYN.EVN.regular.comment.csv",173

"NYN201905250",33,"On-field Delay Mound Visit"2019NYN.EVN.regular.comment.csv",174

"NYN201905250",65,"Mound Visit"2019NYN.EVN.regular.comment.csv",175

"NYN201905250",71,"Mound Visit"2019NYN.EVN.regular.comment.csv",176

"NYN201905250",82,"Mound Visit"2019NYN.EVN.regular.comment.csv",177

"NYN201905250",89,"$Tigers challenged call that Beckham was out at 1st; call was upheld - out on pickoff"2019NYN.EVN.regular.comment.csv",178

"NYN201905250",96,"Mound Visit Mound Visit"2019NYN.EVN.regular.comment.csv",179

"NYN201905250",102,"Mound Visit"2019NYN.EVN.regular.comment.csv",180

"NYN201905260",58,"Mound Visit"2019NYN.EVN.regular.comment.csv",181

"NYN201905260",62,"Mound Visit"2019NYN.EVN.regular.comment.csv",182

"NYN201905260",63,"Mound Visit"2019NYN.EVN.regular.comment.csv",183

"NYN201905260",70,"Mound Visit"2019NYN.EVN.regular.comment.csv",184

"NYN201906040",12,"On-field Delay"2019NYN.EVN.regular.comment.csv",185

"NYN201906040",29,"Mound Visit"2019NYN.EVN.regular.comment.csv",186

"NYN201906040",36,"Injury Delay umpchange,4,umphome,carav901 umpchange,2,ump2b,(None) $HP umpire Hallion hit in mask by foul ball in bottom of left at end of inning; 2b umpire Carapazza finished game behind plate and game continued with three umpires"2019NYN.EVN.regular.comment.csv",187

"NYN201906040",49,"Mound Visit"2019NYN.EVN.regular.comment.csv",188

"NYN201906040",55,"Mound Visit"2019NYN.EVN.regular.comment.csv",189

"NYN201906040",67,"Mound Visit"2019NYN.EVN.regular.comment.csv",190

"NYN201906040",77,"Mound Visit"2019NYN.EVN.regular.comment.csv",191

"NYN201906040",82,"Mound Visit"2019NYN.EVN.regular.comment.csv",192

"NYN201906050",21,"Mound Visit"2019NYN.EVN.regular.comment.csv",193

"NYN201906050",22,"Mound Visit"2019NYN.EVN.regular.comment.csv",194

"NYN201906050",30,"Mound Visit"2019NYN.EVN.regular.comment.csv",195

"NYN201906050",34,"$Cano lwft with an injured leg"2019NYN.EVN.regular.comment.csv",196

"NYN201906060",5,"Mound Visit"2019NYN.EVN.regular.comment.csv",197

"NYN201906060",7,"Mound Visit"2019NYN.EVN.regular.comment.csv",198

"NYN201906060",51,"Mound Visit"2019NYN.EVN.regular.comment.csv",199

"NYN201906060",53,"Mound Visit"2019NYN.EVN.regular.comment.csv",200

"NYN201906060",54,"Mound Visit"2019NYN.EVN.regular.comment.csv",201

"NYN201906060",66,"Mound Visit"2019NYN.EVN.regular.comment.csv",202

"NYN201906070",31,"Mound Visit"2019NYN.EVN.regular.comment.csv",203

"NYN201906070",32,"Mound Visit"2019NYN.EVN.regular.comment.csv",204

"NYN201906070",61,"On-field Delay Mound Visit"2019NYN.EVN.regular.comment.csv",205

"NYN201906070",62,"Mound Visit"2019NYN.EVN.regular.comment.csv",206

"NYN201906080",12,"Injury Delay On-field Delay"2019NYN.EVN.regular.comment.csv",207

"NYN201906080",27,"Mound Visit"2019NYN.EVN.regular.comment.csv",208

"NYN201906080",29,"Mound Visit"2019NYN.EVN.regular.comment.csv",209

"NYN201906080",35,"Mound Visit"2019NYN.EVN.regular.comment.csv",210

"NYN201906080",37,"Mound Visit"2019NYN.EVN.regular.comment.csv",211

"NYN201906080",45,"On-field Delay"2019NYN.EVN.regular.comment.csv",212

"NYN201906080",46,"ej,callm001,M,wintm901,Arguing balls and strikes $New York manager Callaway ejected by HP umpire Winters after called strike one to Smith"2019NYN.EVN.regular.comment.csv",213

"NYN201906080",52,"Mound Visit"2019NYN.EVN.regular.comment.csv",214

"NYN201906080",58,"Mound Visit"2019NYN.EVN.regular.comment.csv",215

"NYN201906080",63,"$Umpire review of ball hit by Alonso; call upheld - home run"2019NYN.EVN.regular.comment.csv",216

"NYN201906080",65,"Mound Visit"2019NYN.EVN.regular.comment.csv",217

"NYN201906080",77,"Mound Visit"2019NYN.EVN.regular.comment.csv",218

"NYN201906090",3,"$Mets challenged call that Story was safe at 1st; call was overturned - pickoff at 1st"2019NYN.EVN.regular.comment.csv",219

"NYN201906090",43,"Mound Visit"2019NYN.EVN.regular.comment.csv",220

"NYN201906090",44,"Mound Visit"2019NYN.EVN.regular.comment.csv",221

"NYN201906090",68,"Mound Visit"2019NYN.EVN.regular.comment.csv",222

"NYN201906130",0,"Suspend=20190614,,3,3,51"2019NYN.EVN.regular.comment.csv",223

"NYN201906130",45,"Mound Visit"2019NYN.EVN.regular.comment.csv",224

"NYN201906130",48,"Mound Visit"2019NYN.EVN.regular.comment.csv",225

"NYN201906130",59,"Mound Visit"2019NYN.EVN.regular.comment.csv",226

"NYN201906130",63,"On-field Delay"2019NYN.EVN.regular.comment.csv",227

"NYN201906130",68,"$Bader slipped on wet field rounding 2nd and was tagged out"2019NYN.EVN.regular.comment.csv",228

"NYN201906130",68,"$Game suspended as rain had made field uplayable; completed on June 14, 2019 suspend,20190614,NYC20,unplayable field"2019NYN.EVN.regular.comment.csv",229

"NYN201906140",8,"Mound Visit"2019NYN.EVN.regular.comment.csv",230

"NYN201906140",36,"Mound Visit"2019NYN.EVN.regular.comment.csv",231

"NYN201906140",42,"Mound Visit"2019NYN.EVN.regular.comment.csv",232

"NYN201906140",58,"Mound Visit"2019NYN.EVN.regular.comment.csv",233

"NYN201906140",67,"Mound Visit"2019NYN.EVN.regular.comment.csv",234

"NYN201906140",79,"Mound Visit"2019NYN.EVN.regular.comment.csv",235

"NYN201906150",12,"Mound Visit"2019NYN.EVN.regular.comment.csv",236

"NYN201906150",24,"Injury Delay"2019NYN.EVN.regular.comment.csv",237

"NYN201906150",25,"Injury Delay umpchange,3,umphome,whitc901 umpchange,3,ump1b,rippm901 umpchange,3,ump2b,(None) $Foul ball hit by Carpenter hit HP umpire O'Nora in groin and he left in the middle of Fowler's at bat; 1b umpire Whitson move behind the plate and 2b umpire Ripperger moved to 1b; game was finished with three umpires"2019NYN.EVN.regular.comment.csv",238

"NYN201906150",34,"On-field Delay Batter interference"2019NYN.EVN.regular.comment.csv",239

"NYN201906150",39,"Mound Visit"2019NYN.EVN.regular.comment.csv",240

"NYN201906150",58,"Injury Delay"2019NYN.EVN.regular.comment.csv",241

"NYN201906150",60,"Mound Visit"2019NYN.EVN.regular.comment.csv",242

"NYN201906150",61,"Mound Visit"2019NYN.EVN.regular.comment.csv",243

"NYN201906150",64,"Injury Delay $Syndergaard leaves with an injured leg"2019NYN.EVN.regular.comment.csv",244

"NYN201906150",67,"Mound Visit"2019NYN.EVN.regular.comment.csv",245

"NYN201906150",69,"$Cardinals challenged call that Fowler was out at 1st; call was upheld - out returning to 1st to complete double play"2019NYN.EVN.regular.comment.csv",246

"NYN201906150",75,"Mound Visit"2019NYN.EVN.regular.comment.csv",247

"NYN201906150",78,"Mound Visit"2019NYN.EVN.regular.comment.csv",248

"NYN201906150",82,"Mound Visit"2019NYN.EVN.regular.comment.csv",249

"NYN201906160",11,"Mound Visit"2019NYN.EVN.regular.comment.csv",250

"NYN201906160",17,"$Mets challenged call that Lagares was out at 2nd; call was overturned - stolen base"2019NYN.EVN.regular.comment.csv",251

"NYN201906160",19,"Mound Visit"2019NYN.EVN.regular.comment.csv",252

"NYN201906160",30,"Mound Visit"2019NYN.EVN.regular.comment.csv",253

"NYN201906160",32,"$Cardinals challenged call that Martinez was out at 2nd; call was overturned - safe at 2nd on dropped catch error"2019NYN.EVN.regular.comment.csv",254

"NYN201906160",35,"$Vargas left with injured leg"2019NYN.EVN.regular.comment.csv",255

"NYN201906160",54,"Mound Visit"2019NYN.EVN.regular.comment.csv",256

"NYN201906160",72,"Mound Visit"2019NYN.EVN.regular.comment.csv",257

"NYN201906280",41,"Mound Visit"2019NYN.EVN.regular.comment.csv",258

"NYN201906280",55,"Mound Visit"2019NYN.EVN.regular.comment.csv",259

"NYN201906280",57,"Mound Visit"2019NYN.EVN.regular.comment.csv",260

"NYN201906280",58,"Mound Visit"2019NYN.EVN.regular.comment.csv",261

"NYN201906280",63,"Mound Visit"2019NYN.EVN.regular.comment.csv",262

"NYN201906280",66,"Mound Visit"2019NYN.EVN.regular.comment.csv",263

"NYN201906280",70,"$Braves challenged call that Frazier was safe at 1st; call was overturned - ground out"2019NYN.EVN.regular.comment.csv",264

"NYN201906290",5,"Mound Visit $Braves challenged call that Donaldson was was out at 3rd; call was upheld - out advancing on single"2019NYN.EVN.regular.comment.csv",265

"NYN201906290",10,"Mound Visit"2019NYN.EVN.regular.comment.csv",266

"NYN201906290",20,"Injury Delay"2019NYN.EVN.regular.comment.csv",267

"NYN201906290",36,"Mound Visit"2019NYN.EVN.regular.comment.csv",268

"NYN201906290",37,"Mound Visit"2019NYN.EVN.regular.comment.csv",269

"NYN201906290",39,"On-field Delay"2019NYN.EVN.regular.comment.csv",270

"NYN201906290",48,"Injury Delay"2019NYN.EVN.regular.comment.csv",271

"NYN201906290",56,"Mound Visit"2019NYN.EVN.regular.comment.csv",272

"NYN201906290",58,"On-field Delay umpchange,7,umphome,ortir901 umpchange,7,ump2b,(None) $HP umpire Welke hit on mask by foul ball earlier in game, left at this point; 2b umpire Ortiz moved behind plate"2019NYN.EVN.regular.comment.csv",273

"NYN201906290",68,"Mound Visit"2019NYN.EVN.regular.comment.csv",274

"NYN201906290",70,"Mound Visit"2019NYN.EVN.regular.comment.csv",275

"NYN201906290",80,"Mound Visit"2019NYN.EVN.regular.comment.csv",276

"NYN201906290",83,"Mound Visit"2019NYN.EVN.regular.comment.csv",277

"NYN201906300",23,"Mound Visit"2019NYN.EVN.regular.comment.csv",278

"NYN201906300",25,"$Mets challenged call that Swanson was safe at 3rd; call was upheld - double steal"2019NYN.EVN.regular.comment.csv",279

"NYN201906300",30,"Mound Visit"2019NYN.EVN.regular.comment.csv",280

"NYN201906300",49,"Mound Visit"2019NYN.EVN.regular.comment.csv",281

"NYN201906300",53,"Mound Visit"2019NYN.EVN.regular.comment.csv",282

"NYN201906300",60,"Mound Visit"2019NYN.EVN.regular.comment.csv",283

"NYN201906300",73,"Injury Delay Mound Visit"2019NYN.EVN.regular.comment.csv",284

"NYN201906300",75,"Mound Visit"2019NYN.EVN.regular.comment.csv",285

"NYN201906300",76,"Mound Visit"2019NYN.EVN.regular.comment.csv",286

"NYN201906300",80,"Mound Visit"2019NYN.EVN.regular.comment.csv",287

"NYN201907020",40,"Mound Visit"2019NYN.EVN.regular.comment.csv",288

"NYN201907020",49,"Mound Visit"2019NYN.EVN.regular.comment.csv",289

"NYN201907020",51,"Mound Visit"2019NYN.EVN.regular.comment.csv",290

"NYN201907020",65,"Mound Visit"2019NYN.EVN.regular.comment.csv",291

"NYN201907020",72,"Mound Visit $Mets challenged call that Gregorius was safe at 2nd; call was upheld - stolen base"2019NYN.EVN.regular.comment.csv",292

"NYN201907030",43,"Mound Visit"2019NYN.EVN.regular.comment.csv",293

"NYN201907030",49,"Mound Visit"2019NYN.EVN.regular.comment.csv",294

"NYN201907030",51,"Mound Visit"2019NYN.EVN.regular.comment.csv",295

"NYN201907030",55,"Mound Visit"2019NYN.EVN.regular.comment.csv",296

"NYN201907030",59,"Mound Visit"2019NYN.EVN.regular.comment.csv",297

"NYN201907050",15,"$Mets challenged call that Frazier was out at 2nd; call was upheld - caught stealing"2019NYN.EVN.regular.comment.csv",298

"NYN201907050",29,"Mound Visit"2019NYN.EVN.regular.comment.csv",299

"NYN201907050",38,"Mound Visit"2019NYN.EVN.regular.comment.csv",300

"NYN201907050",51,"Mound Visit"2019NYN.EVN.regular.comment.csv",301

"NYN201907050",61,"Mound Visit"2019NYN.EVN.regular.comment.csv",302

"NYN201907050",65,"Mound Visit"2019NYN.EVN.regular.comment.csv",303

"NYN201907050",69,"Mound Visit"2019NYN.EVN.regular.comment.csv",304

"NYN201907050",72,"Mound Visit Mound Visit"2019NYN.EVN.regular.comment.csv",305

"NYN201907050",73,"Mound Visit"2019NYN.EVN.regular.comment.csv",306

"NYN201907060",15,"Mound Visit"2019NYN.EVN.regular.comment.csv",307

"NYN201907060",21,"Mound Visit"2019NYN.EVN.regular.comment.csv",308

"NYN201907060",32,"$Phillies challenged call that Smith was safe at 3rd; call was overturned - single, error and out stretching"2019NYN.EVN.regular.comment.csv",309

"NYN201907060",36,"Mound Visit"2019NYN.EVN.regular.comment.csv",310

"NYN201907060",46,"Mound Visit"2019NYN.EVN.regular.comment.csv",311

"NYN201907060",50,"On-field Delay"2019NYN.EVN.regular.comment.csv",312

