"SLA192404230",0,"Ideal weather","FILENAME_TX","LINE_NUMBER_CT"
"SLA192404270",18,"Into RF bleachers","1924SLA.EVA.regular.comment.csv",33
"SLA192404270",26,"Past McManus","1924SLA.EVA.regular.comment.csv",34
"SLA192404270",39,"Into RF bleachers","1924SLA.EVA.regular.comment.csv",35
"SLA192404270",50,"Into RF bleachers","1924SLA.EVA.regular.comment.csv",36
"SLA192404270",69,"Over LF wall in front of the scoreboard","1924SLA.EVA.regular.comment.csv",37
"SLA192404270",90,"Updated by Wayne Townsend, 1/15/06.","1924SLA.EVA.regular.comment.csv",38
"SLA192404280",3,"Close play","1924SLA.EVA.regular.comment.csv",39
"SLA192404280",26,"Against RF screen","1924SLA.EVA.regular.comment.csv",40
"SLA192404280",27,"Speaker coaxed Danforth into a balk by taking a long lead","1924SLA.EVA.regular.comment.csv",41
"SLA192404280",30,"Delayed steal","1924SLA.EVA.regular.comment.csv",42
"SLA192404280",60,"Off Burns' glove","1924SLA.EVA.regular.comment.csv",43
"SLA192404280",64,"Into RCF bleachers","1924SLA.EVA.regular.comment.csv",44
"SLA192404280",69,"Lutzke knocked it down then threw to the RF pavilion","1924SLA.EVA.regular.comment.csv",45
"SLA192404280",71,"Edwards tagged out Gerber","1924SLA.EVA.regular.comment.csv",46
"SLA192404280",81,"Updated by Wayne Townsend, 1/16/06.","1924SLA.EVA.regular.comment.csv",47
"SLA192405010",4,"Sisler vigorously protested the decision at the plate and the heated argument continued for several minutes.","1924SLA.EVA.regular.comment.csv",48
"SLA192405010",5,"Bounced off Kolp's shins","1924SLA.EVA.regular.comment.csv",49
"SLA192405010",19,"Into RCF bleachers","1924SLA.EVA.regular.comment.csv",50
"SLA192405010",22,"Wingard's ML debut","1924SLA.EVA.regular.comment.csv",51
"SLA192405010",30,"Into RF stands","1924SLA.EVA.regular.comment.csv",52
"SLA192405010",48,"Spectacular running catch","1924SLA.EVA.regular.comment.csv",53
"SLA192405010",60,"Into RF bleachers","1924SLA.EVA.regular.comment.csv",54
"SLA192405010",67,"Off Wingard's shins","1924SLA.EVA.regular.comment.csv",55
"SLA192405010",82,"The Browns swarmed Ump Hildebrand to dispute the decision. He was only saved from violence through the efforts of Severeid and Chet Thomas.","1924SLA.EVA.regular.comment.csv",56
"SLA192405020",14,"Attempted double steal","1924SLA.EVA.regular.comment.csv",57
"SLA192405020",19,"Great stop","1924SLA.EVA.regular.comment.csv",58
"SLA192405020",55,"Sparkling catch","1924SLA.EVA.regular.comment.csv",59
"SLA192405030",7,"Into RF seats","1924SLA.EVA.regular.comment.csv",60
"SLA192405030",9,"Into LF stands","1924SLA.EVA.regular.comment.csv",61
"SLA192405030",28,"Into RCF stands","1924SLA.EVA.regular.comment.csv",62
"SLA192405030",39,"Shoestring catch","1924SLA.EVA.regular.comment.csv",63
"SLA192405301",14,"Jacobson fumbled","1924SLA.EVA.regular.comment.csv",64
"SLA192405301",18,"Off Sheely's shins","1924SLA.EVA.regular.comment.csv",65
"SLA192405301",35,"Great catch by Sheely of Kamm's throw","1924SLA.EVA.regular.comment.csv",66
"SLA192405301",42,"Knocked down the line drive","1924SLA.EVA.regular.comment.csv",67
"SLA192405301",45,"Mostil fumbled","1924SLA.EVA.regular.comment.csv",68
"SLA192405301",63,"Into RCF bleachers","1924SLA.EVA.regular.comment.csv",69
"SLA192405302",6,"Nice play","1924SLA.EVA.regular.comment.csv",70
"SLA192405302",9,"Sensational running catch","1924SLA.EVA.regular.comment.csv",71
"SLA192405302",16,"Thurston overran 2B","1924SLA.EVA.regular.comment.csv",72
"SLA192405302",22,"Spectacular catch, colliding with the fence","1924SLA.EVA.regular.comment.csv",73
"SLA192405302",34,"Running catch","1924SLA.EVA.regular.comment.csv",74
"SLA192405302",43,"High bounder","1924SLA.EVA.regular.comment.csv",75
"SLA192405302",47,"Sheely was run down","1924SLA.EVA.regular.comment.csv",76
"SLA192405302",50,"Slammed against the roof of the RF pavilion","1924SLA.EVA.regular.comment.csv",77
"SLA192405302",61,"8/F?","1924SLA.EVA.regular.comment.csv",78
"SLA192405302",67,"Into LF crowd","1924SLA.EVA.regular.comment.csv",79
"SLA192405302",82,"Past Ellerbe","1924SLA.EVA.regular.comment.csv",80
"SLA192405310",26,"Into LF bleachers","1924SLA.EVA.regular.comment.csv",81
"SLA192405310",31,"Sheely protested that it was foul","1924SLA.EVA.regular.comment.csv",82
"SLA192405310",37,"Great stop","1924SLA.EVA.regular.comment.csv",83
"SLA192405310",58,"Running catch","1924SLA.EVA.regular.comment.csv",84
"SLA192406010",2,"Into RF bleachers","1924SLA.EVA.regular.comment.csv",85
"SLA192406010",3,"Into RF bleachers","1924SLA.EVA.regular.comment.csv",86
"SLA192406010",37,"Into RF bleachers","1924SLA.EVA.regular.comment.csv",87
"SLA192406010",40,"3-0 count when Leverett entered","1924SLA.EVA.regular.comment.csv",88
"SLA192406010",75,"2-0 count when Connally entered","1924SLA.EVA.regular.comment.csv",89
"SLA192406010",81,"Late throw home","1924SLA.EVA.regular.comment.csv",90
"SLA192406030",21,"Past 3B","1924SLA.EVA.regular.comment.csv",91
"SLA192406030",23,"Into RF seats","1924SLA.EVA.regular.comment.csv",92
"SLA192406030",38,"To the flagpole","1924SLA.EVA.regular.comment.csv",93
"SLA192406030",54,"Into RF seats; the crowd went wild","1924SLA.EVA.regular.comment.csv",94
"SLA192406030",60,"Great stop","1924SLA.EVA.regular.comment.csv",95
"SLA192406030",63,"Diving catch","1924SLA.EVA.regular.comment.csv",96
"SLA192406030",74,"Over LF fence","1924SLA.EVA.regular.comment.csv",97
"SLA192406040",3,"Great stop","1924SLA.EVA.regular.comment.csv",98
"SLA192406040",40,"Great stop","1924SLA.EVA.regular.comment.csv",99
"SLA192406040",51,"Hit LF scoreboard; IPHR?","1924SLA.EVA.regular.comment.csv",100
"SLA192406040",52,"Past Shanks","1924SLA.EVA.regular.comment.csv",101
"SLA192406040",67,"Into RF seats","1924SLA.EVA.regular.comment.csv",102
"SLA192406040",73,"Guessing runner advancement","1924SLA.EVA.regular.comment.csv",103
"SLA192406050",6,"Veach fumbled","1924SLA.EVA.regular.comment.csv",104
"SLA192406050",11,"Great stop","1924SLA.EVA.regular.comment.csv",105
"SLA192406050",34,"Off Wingard's glove","1924SLA.EVA.regular.comment.csv",106
"SLA192406050",52,"ej,seveh101,P,nalld901,Arguing balls and strikes $Severeid ejected by Ump Nallin for arguing balls & strikes","1924SLA.EVA.regular.comment.csv",107
"SLA192406050",61,"Circus catch","1924SLA.EVA.regular.comment.csv",108
"SLA192406050",68,"Delayed steal","1924SLA.EVA.regular.comment.csv",109
"SLA192406060",14,"Into RF seats","1924SLA.EVA.regular.comment.csv",110
"SLA192406060",25,"Fine catch","1924SLA.EVA.regular.comment.csv",111
"SLA192406060",53,"May've been 1XH(762)","1924SLA.EVA.regular.comment.csv",112
"SLA192406060",55,"Fuhr caught Williams off 1B, but when Harris attempted to nail Sisler at 3B, he threw to the LF pavilion.","1924SLA.EVA.regular.comment.csv",113
"SLA192406060",57,"Into RF sun seats","1924SLA.EVA.regular.comment.csv",114
"SLA192406060",71,"Too hot for Sisler","1924SLA.EVA.regular.comment.csv",115
"SLA192406070",23,"Into RF seats","1924SLA.EVA.regular.comment.csv",116
"SLA192406070",26,"Attempted double steal","1924SLA.EVA.regular.comment.csv",117
"SLA192406070",27,"Shocker deflected it","1924SLA.EVA.regular.comment.csv",118
"SLA192406070",34,"Dugan deflected to Scott","1924SLA.EVA.regular.comment.csv",119
"SLA192406070",35,"Leaping catch","1924SLA.EVA.regular.comment.csv",120
"SLA192406070",39,"Spectacular running catch","1924SLA.EVA.regular.comment.csv",121
"SLA192406070",40,"Belted past Jacobson","1924SLA.EVA.regular.comment.csv",122
"SLA192406070",42,"Caught near a policeman's steed's hind legs","1924SLA.EVA.regular.comment.csv",123
"SLA192406070",57,"Great stop","1924SLA.EVA.regular.comment.csv",124
"SLA192406070",59,"Sensational 1-handed stop by Gerber","1924SLA.EVA.regular.comment.csv",125
"SLA192406070",60,"Meusel couldn't hold onto it","1924SLA.EVA.regular.comment.csv",126
"SLA192406070",63,"Running catch","1924SLA.EVA.regular.comment.csv",127
"SLA192406070",66,"Circus catch","1924SLA.EVA.regular.comment.csv",128
"SLA192406070",68,"Great stop","1924SLA.EVA.regular.comment.csv",129
"SLA192406090",0,"Ladies' Day; most of the spectators were women","1924SLA.EVA.regular.comment.csv",130
"SLA192406090",4,"Leaping stop by Wingard","1924SLA.EVA.regular.comment.csv",131
"SLA192406090",5,"Spectacular, diving shoestring catch","1924SLA.EVA.regular.comment.csv",132
"SLA192406090",14,"Off Wingard's glove","1924SLA.EVA.regular.comment.csv",133
"SLA192406090",24,"Spectacular DP","1924SLA.EVA.regular.comment.csv",134
"SLA192406090",32,"Bad hop past Williams","1924SLA.EVA.regular.comment.csv",135
"SLA192406090",36,"Over the top of RF bleachers into the street","1924SLA.EVA.regular.comment.csv",136
"SLA192406090",37,"Over LF scoreboard","1924SLA.EVA.regular.comment.csv",137
"SLA192406090",49,"Hit & run","1924SLA.EVA.regular.comment.csv",138
"SLA192406090",51,"Johnson muffed Schang's perfect throw","1924SLA.EVA.regular.comment.csv",139
"SLA192406090",61,"Remarkable stop","1924SLA.EVA.regular.comment.csv",140
"SLA192406090",64,"Running catch","1924SLA.EVA.regular.comment.csv",141
"SLA192406090",67,"Beautiful stop","1924SLA.EVA.regular.comment.csv",142
"SLA192406090",71,"Bad hop over McMillan's head","1924SLA.EVA.regular.comment.csv",143
"SLA192406090",82,"Updated by Wayne Townsend, 7/11/06.","1924SLA.EVA.regular.comment.csv",144
"SLA192406100",0,"Overflow crowd","1924SLA.EVA.regular.comment.csv",145
"SLA192406100",6,"Sisler was given a tremendous ovation as he came to bat. Before the game he was honored with a 'diploma' as the 1922 AL MVP.","1924SLA.EVA.regular.comment.csv",146
"SLA192406100",8,"Scratch hit past Gerber","1924SLA.EVA.regular.comment.csv",147
"SLA192406100",9,"Into RF seats","1924SLA.EVA.regular.comment.csv",148
"SLA192406100",31,"Sensational back-handed stop","1924SLA.EVA.regular.comment.csv",149
"SLA192406100",66,"Low throw","1924SLA.EVA.regular.comment.csv",150
"SLA192406100",68,"Squeeze play","1924SLA.EVA.regular.comment.csv",151
"SLA192406110",10,"Low throw","1924SLA.EVA.regular.comment.csv",152
"SLA192406110",14,"Spectacular running catch","1924SLA.EVA.regular.comment.csv",153
"SLA192406110",19,"Great stop","1924SLA.EVA.regular.comment.csv",154
"SLA192406110",38,"Spectacular 1-handed catch","1924SLA.EVA.regular.comment.csv",155
"SLA192406110",48,"Hit on the left knee; he writhed in pain and needed several minutes to recover before limping to 1B.","1924SLA.EVA.regular.comment.csv",156
"SLA192406110",56,"Off Robertson's glove","1924SLA.EVA.regular.comment.csv",157
"SLA192406110",57,"Sisler and Grant collided trying to field the bunt","1924SLA.EVA.regular.comment.csv",158
"SLA192406110",58,"Hit & run","1924SLA.EVA.regular.comment.csv",159
"SLA192406110",62,"Guessing fielder","1924SLA.EVA.regular.comment.csv",160
"SLA192406110",68,"Hit the top row of seats in RF bleachers","1924SLA.EVA.regular.comment.csv",161
"SLA192406110",73,"Guessing fielders; Peck was trapped but made it back to 3B.","1924SLA.EVA.regular.comment.csv",162
"SLA192406110",80,"Harris tagged Robertson","1924SLA.EVA.regular.comment.csv",163
"SLA192406110",88,"Guessing fielders","1924SLA.EVA.regular.comment.csv",164
"SLA192406130",12,"May've been CS2(24)","1924SLA.EVA.regular.comment.csv",165
"SLA192406130",13,"$Norm McMillan struck on the right hand","1924SLA.EVA.regular.comment.csv",166
"SLA192406130",13,"$Pat Collins in as a courtesy runner","1924SLA.EVA.regular.comment.csv",167
"SLA192406130",21,"It began to rain as Goslin came to bat","1924SLA.EVA.regular.comment.csv",168
"SLA192406130",22,"Rain delay of 3 minutes before Gerber batted.  Play was resumed under threatening skies.","1924SLA.EVA.regular.comment.csv",169
"SLA192406130",40,"Knocked down the hot smash","1924SLA.EVA.regular.comment.csv",170
"SLA192406140",5,"Goslin booted it","1924SLA.EVA.regular.comment.csv",171
"SLA192406140",7,"McManus was given a rousing cheer as he came to bat","1924SLA.EVA.regular.comment.csv",172
"SLA192406140",9,"Just barely cleared RF screen, into bleachers","1924SLA.EVA.regular.comment.csv",173
"SLA192406140",20,"Great catch","1924SLA.EVA.regular.comment.csv",174
"SLA192406140",55,"Great scoop by Sisler of low throw","1924SLA.EVA.regular.comment.csv",175
"SLA192406140",62,"WashPost reported Goslin stole 2B prior to Ruel's BB","1924SLA.EVA.regular.comment.csv",176
"SLA192406140",69,"Hit over RF bleachers","1924SLA.EVA.regular.comment.csv",177
"SLA192406160",0,"Ladies Day","1924SLA.EVA.regular.comment.csv",178
"SLA192406160",13,"Against LF scoreboard","1924SLA.EVA.regular.comment.csv",179
"SLA192406160",31,"Great catch of lazy fly","1924SLA.EVA.regular.comment.csv",180
"SLA192406160",38,"Riconda deflected to Galloway","1924SLA.EVA.regular.comment.csv",181
"SLA192406160",39,"Lyons' only career double","1924SLA.EVA.regular.comment.csv",182
"SLA192406160",68,"Over LF fence","1924SLA.EVA.regular.comment.csv",183
"SLA192406180",33,"When Hauser threw past 1B trying for the putout, Kolp started for 2B.","1924SLA.EVA.regular.comment.csv",184
"SLA192406180",42,"Past Robertson","1924SLA.EVA.regular.comment.csv",185
"SLA192406180",63,"Into RF stands","1924SLA.EVA.regular.comment.csv",186
"SLA192406190",0,"Weather: excessive heat","1924SLA.EVA.regular.comment.csv",187
"SLA192406190",13,"To the flagpole","1924SLA.EVA.regular.comment.csv",188
"SLA192406190",38,"Over LF fence","1924SLA.EVA.regular.comment.csv",189
"SLA192406190",47,"Knocked down the liner","1924SLA.EVA.regular.comment.csv",190
"SLA192406190",61,"umpchange,6,umphome,holmd102 umpchange,6,ump1b,nalld901 umpchange,6,ump3b,(None) $At this juncture, Ump Rowland took off his mask and chest protector and left the field complaining of the heat.  After a delay of several minutes, Ump Holmes took Rowland's place.","1924SLA.EVA.regular.comment.csv",191
"SLA192406190",65,"High into RF seats","1924SLA.EVA.regular.comment.csv",192
"SLA192406190",72,"Nice catch","1924SLA.EVA.regular.comment.csv",193
"SLA192406190",93,"Late throw home","1924SLA.EVA.regular.comment.csv",194
"SLA192406211",0,"Weather: hot","1924SLA.EVA.regular.comment.csv",195
"SLA192406211",3,"Tobin fumbled","1924SLA.EVA.regular.comment.csv",196
"SLA192406211",4,"Lyons deflected it","1924SLA.EVA.regular.comment.csv",197
"SLA192406211",14,"Great running, 1-handed catch","1924SLA.EVA.regular.comment.csv",198
"SLA192406211",16,"Great stop","1924SLA.EVA.regular.comment.csv",199
"SLA192406211",19,"Great sliding catch","1924SLA.EVA.regular.comment.csv",200
"SLA192406211",21,"Off Thurston's glove","1924SLA.EVA.regular.comment.csv",201
"SLA192406211",55,"ej,austj101,C,holmd102,Balls and strikes ej,sislg101,M,holmd102,Balls and strikes ej,collp101,P,holmd102,Balls and strikes $Sisler engaged in a long debate with Ump Holmes over his balls-and-strikes decisions.  Play was suspended several minutes during the argument, and resulted in the ejection of Sisler & P.Collins. Police were called in when fans resorted to a pop bottle shower.  Jimmie Austin and Holmes went thru all the gesture of a fistic melee, but no blows were struck; Austin was ejected In the near-riot that followed, fans tore down a RF gate; Sisler persuaded them to remain in the stands.  Phil Ball, accompanied by police, confronted Ump Rowland at 3B and a long heated discussion took place.  This caused the fans to throw more pop bottles at Holmes over the Browns' protests. Afterward Sisler aided in the repair of the fallen gate.  As he ran back to the plate he was given a big hand, then he engaged in another verbal combat with Holmes.  Play was finally resumed after a 15-minute delay.","1924SLA.EVA.regular.comment.csv",202
"SLA192406211",55,"Rego's ML debut","1924SLA.EVA.regular.comment.csv",203
"SLA192406211",62,"Rego's 1st ML AB","1924SLA.EVA.regular.comment.csv",204
"SLA192406211",67,"Hot smash off Barrett's ankle","1924SLA.EVA.regular.comment.csv",205
"SLA192406211",71,"High over RF bleachers","1924SLA.EVA.regular.comment.csv",206
"SLA192406211",84,"Wide throw to Wingard","1924SLA.EVA.regular.comment.csv",207
"SLA192406212",7,"Delayed steal","1924SLA.EVA.regular.comment.csv",208
"SLA192406212",14,"Barrett backed up the play","1924SLA.EVA.regular.comment.csv",209
"SLA192406212",27,"Into RF bleachers","1924SLA.EVA.regular.comment.csv",210
"SLA192406212",28,"Nice running catch","1924SLA.EVA.regular.comment.csv",211
"SLA192406212",42,"Nice running catch","1924SLA.EVA.regular.comment.csv",212
"SLA192406212",58,"Into RF bleachers","1924SLA.EVA.regular.comment.csv",213
"SLA192406220",0,"$George Sisler and Pat Collins serving suspensions due to yesterday's ejections.","1924SLA.EVA.regular.comment.csv",214
"SLA192406220",14,"Off Lyons' pitching hand","1924SLA.EVA.regular.comment.csv",215
"SLA192406220",17,"Swell running catch","1924SLA.EVA.regular.comment.csv",216
"SLA192406220",33,"Williams was called out before Wingard crossed the plate","1924SLA.EVA.regular.comment.csv",217
"SLA192406220",47,"Great 1-handed stab","1924SLA.EVA.regular.comment.csv",218
"SLA192406220",56,"Off Barrett's jaw","1924SLA.EVA.regular.comment.csv",219
"SLA192406220",70,"Past Sheely","1924SLA.EVA.regular.comment.csv",220
"SLA192406220",78,"Infield hit","1924SLA.EVA.regular.comment.csv",221
"SLA192406241",13,"'Through the left field scoreboard'","1924SLA.EVA.regular.comment.csv",222
"SLA192406241",30,"Holmes took a ball from Davis at Cobb's request and Sisler took after Holmes. Players on both teams crowded around until Ump Nallin decided that Davis was within his rights in rubbing a ball. Play proceeded with Cobb's arguing vigorously with Nallin.","1924SLA.EVA.regular.comment.csv",223
"SLA192406241",35,"Over LF fence","1924SLA.EVA.regular.comment.csv",224
"SLA192406241",52,"Jacobson received a tremendous ovation coming to bat","1924SLA.EVA.regular.comment.csv",225
"SLA192406241",60,"Over LF fence","1924SLA.EVA.regular.comment.csv",226
"SLA192406241",65,"Cole replaced with 3-0 count","1924SLA.EVA.regular.comment.csv",227
"SLA192406241",74,"A long argument between the Browns and umpires ensued. Apparently Kerr was picked off and called out by Nallin, but Holmes overruled him.  After a 12-minute delay, the umps decided to allow Kerr to return to 1B despite Sisler's disapproval.","1924SLA.EVA.regular.comment.csv",228
"SLA192406241",75,"Stoner charged with loss?","1924SLA.EVA.regular.comment.csv",229
"SLA192406242",33,"Sensational catch","1924SLA.EVA.regular.comment.csv",230
"SLA192406250",0,"Ump Holmes appeared on the field with a swollen eye as a result of the attack made upon him after yesterday's double- header.  The fans got plenty of 'kick' out of jeering him about his black eye as he walked to first base to officiate.","1924SLA.EVA.regular.comment.csv",231
"SLA192406250",24,"Great stop","1924SLA.EVA.regular.comment.csv",232
"SLA192406250",38,"Past SS","1924SLA.EVA.regular.comment.csv",233
"SLA192406250",55,"Shoestring catch","1924SLA.EVA.regular.comment.csv",234
"SLA192406250",64,"Replaced with 2-0 count","1924SLA.EVA.regular.comment.csv",235
"SLA192407260",9,"Through Robertson","1924SLA.EVA.regular.comment.csv",236
"SLA192407260",17,"Barehanded stop","1924SLA.EVA.regular.comment.csv",237
"SLA192407260",40,"Over RF bleachers","1924SLA.EVA.regular.comment.csv",238
"SLA192407260",61,"Off Ehmke's bare hand","1924SLA.EVA.regular.comment.csv",239
"SLA192407280",0,"Protest=Y $Game declared no-decision although St. Louis led 10-5; all player records count except no win or loss for pitchers; see detailed comment at end of game","1924SLA.EVA.regular.comment.csv",240
"SLA192407280",17,"Smashed through Wamby","1924SLA.EVA.regular.comment.csv",241
"SLA192407280",27,"Fine running catch","1924SLA.EVA.regular.comment.csv",242
"SLA192407280",36,"Remarkable 1-handed catch off the LF pavilion","1924SLA.EVA.regular.comment.csv",243
"SLA192407280",38,"Too hot for Shanks","1924SLA.EVA.regular.comment.csv",244
"SLA192407280",49,"Knocked down the drive","1924SLA.EVA.regular.comment.csv",245
"SLA192407280",53,"No one covered 1B","1924SLA.EVA.regular.comment.csv",246
"SLA192407280",58,"Through Clark","1924SLA.EVA.regular.comment.csv",247
"SLA192407280",60,"Piercy voluntarily retired","1924SLA.EVA.regular.comment.csv",248
"SLA192407280",73,"At this stage, Ump Owens warned the Red Sox against their dilatory tactics.","1924SLA.EVA.regular.comment.csv",249
"SLA192407280",83,"$Sisler and Ump Owens argued whether McMillan or Rego was the hitter in the previous inning.","1924SLA.EVA.regular.comment.csv",250
"SLA192407280",89,"A long argument followed, the Browns insisted it was foul","1924SLA.EVA.regular.comment.csv",251
"SLA192407280",98,"$Browns Sisler announced he would protest the game because Ump Owens ruled that Rego should precede McMillan in the batting order in the 9th, which Sisler declared violated the rules.  McMillan had run for Severeid in the 8th, remaining in the game at SS.","1924SLA.EVA.regular.comment.csv",252
"SLA192407290",24,"17-game hitting streak","1924SLA.EVA.regular.comment.csv",253
"SLA192407290",26,"Into RF seats","1924SLA.EVA.regular.comment.csv",254
"SLA192407290",60,"Diving shoestring catch","1924SLA.EVA.regular.comment.csv",255
"SLA192407311",0,"Weather: intense heat","1924SLA.EVA.regular.comment.csv",256
"SLA192407311",1,"Hopped over Gerber","1924SLA.EVA.regular.comment.csv",257
"SLA192407311",8,"Great stop","1924SLA.EVA.regular.comment.csv",258
"SLA192407311",11,"Smashed to Dugan","1924SLA.EVA.regular.comment.csv",259
"SLA192407311",30,"At this point the game was interrupted when part of the crowd from the grandstand went down on the field.  After a conference between Mgr Sisler and the umpires it was agreed to put ground rules in force and to allow the overflow on the side lines.","1924SLA.EVA.regular.comment.csv",260
"SLA192407311",33,"Fast play","1924SLA.EVA.regular.comment.csv",261
"SLA192407311",37,"17-game hitting streak","1924SLA.EVA.regular.comment.csv",262
"SLA192407311",44,"Past Sisler","1924SLA.EVA.regular.comment.csv",263
"SLA192407311",47,"Deflected by Hoyt","1924SLA.EVA.regular.comment.csv",264
"SLA192407311",51,"Spectacular diving stop","1924SLA.EVA.regular.comment.csv",265
"SLA192407312",9,"During Meusel's AB, Ump Owens called Danforth off the mound and they engaged in a heated argument over Dave's pitching. Sisler entered the confab and brought it to a close quickly.","1924SLA.EVA.regular.comment.csv",266
"SLA192407312",27,"Ruth's 100th BB of the season","1924SLA.EVA.regular.comment.csv",267
"SLA192407312",28,"Sisler protested vigorously with Ump Owens over the balk","1924SLA.EVA.regular.comment.csv",268
"SLA192407312",38,"Fine running catch","1924SLA.EVA.regular.comment.csv",269
"SLA192407312",52,"Into RF bleachers, Ruth's 14th HR in July. NY Times reported HR/F7D.","1924SLA.EVA.regular.comment.csv",270
"SLA192407312",61,"$Ward returned safely to first when pitcher dropped throw in rundown","1924SLA.EVA.regular.comment.csv",271
"SLA192408010",5,"Deflected by Bush","1924SLA.EVA.regular.comment.csv",272
"SLA192408010",12,"Great catch","1924SLA.EVA.regular.comment.csv",273
"SLA192408010",18,"Running catch","1924SLA.EVA.regular.comment.csv",274
"SLA192408010",19,"Off Shocker's glove","1924SLA.EVA.regular.comment.csv",275
"SLA192408010",50,"1-handed catch","1924SLA.EVA.regular.comment.csv",276
"SLA192408010",54,"Infield hit past McManus","1924SLA.EVA.regular.comment.csv",277
"SLA192408010",63,"Between innings, Bush complained to the umpires about the actions of a certain fan behind the Yankee dugout who was directing wild gestures towards Bush.  Bush broke away and headed into the stands after him.  Police, umpires, and players returned Bush to the dugout.  Extra police were rushed in to prevent fans from causing further disorder.","1924SLA.EVA.regular.comment.csv",278
"SLA192408010",67,"Bush was hissed and jeered as he strutted to the plate.  He took off his cap and made a formal bow to the crowd.","1924SLA.EVA.regular.comment.csv",279
"SLA192408010",75,"Hot smash","1924SLA.EVA.regular.comment.csv",280
"SLA192408010",77,"ej,ruthb101,P,rowlp801,Call at 2B $Ruth protested the decision at 2B loudly and was ejected","1924SLA.EVA.regular.comment.csv",281
"SLA192408020",0,"Weather: heavy morning rain made the outfield soggy but the infield was dry enough.","1924SLA.EVA.regular.comment.csv",282
"SLA192408020",1,"Long running catch","1924SLA.EVA.regular.comment.csv",283
"SLA192408020",3,"Tobin fumbled","1924SLA.EVA.regular.comment.csv",284
"SLA192408020",14,"Past Robertson","1924SLA.EVA.regular.comment.csv",285
"SLA192408020",21,"During Gerber's PA, Schang's pickoff throw to 2B hit Jacobson in the back of the head and he went down under the blow.  After several minutes he was able to resume play.","1924SLA.EVA.regular.comment.csv",286
"SLA192408020",26,"54/SH...?","1924SLA.EVA.regular.comment.csv",287
"SLA192408020",52,"Barehanded stop","1924SLA.EVA.regular.comment.csv",288
"SLA192408020",65,"Off Ward's glove","1924SLA.EVA.regular.comment.csv",289
"SLA192408020",79,"Ruth let it go through him","1924SLA.EVA.regular.comment.csv",290
"SLA192408020",82,"Over Horan","1924SLA.EVA.regular.comment.csv",291
"SLA192408040",0,"Ladies Day","1924SLA.EVA.regular.comment.csv",292
