"MLN195304140",0,"$First game at County Stadium and first in Milwaukee since 1901","FILENAME_TX","LINE_NUMBER_CT"
"MLN195305160",4,"$only Braves hit of game on first pitch","1953MLN.EVN.regular.comment.csv",23
"MLN195305180",71,"$Granny Hamner called for interference for running into his own batted ball","1953MLN.EVN.regular.comment.csv",24
"MLN195305190",61,"$Jackie Robinson injured by foul ball off foot","1953MLN.EVN.regular.comment.csv",25
"MLN195305251",2,"to match daily/TSN, arbitrary 9 to 8","1953MLN.EVN.regular.comment.csv",26
"MLN195305270",78,"to match daily/TSN, arbitrary 4 to 3","1953MLN.EVN.regular.comment.csv",27
"MLN195306190",38,"$Jack Dittmer and Jim Pendleton collided; Dittmer injured","1953MLN.EVN.regular.comment.csv",28
"MLN195306200",27,"account of bottom of 4th missing","1953MLN.EVN.regular.comment.csv",29
"MLN195306230",47,"30 minute rain delay","1953MLN.EVN.regular.comment.csv",30
"MLN195306240",62,"pbp account from Sun-Times ends here, rest deduced from newspapers","1953MLN.EVN.regular.comment.csv",31
"MLN195306260",52,"$320 ft, 2 ft fair","1953MLN.EVN.regular.comment.csv",32
"MLN195306270",72,"350 feet","1953MLN.EVN.regular.comment.csv",33
"MLN195306280",67,"to match daily/TSN, arbitrary K23 to K","1953MLN.EVN.regular.comment.csv",34
"MLN195307042",8,"to match daily/TSN, arbitrary 8 to 9","1953MLN.EVN.regular.comment.csv",35
"MLN195307042",10,"to match daily/TSN, arbitrary K to K23","1953MLN.EVN.regular.comment.csv",36
"MLN195307042",25,"to match daily/TSN, arbitrary 63 to 43","1953MLN.EVN.regular.comment.csv",37
"MLN195307080",38,"to match daily/TSN, arbitrary 43 to 63","1953MLN.EVN.regular.comment.csv",38
"MLN195307270",18,"to match daily/TSN, arbitrary 7 to 6","1953MLN.EVN.regular.comment.csv",39
"MLN195307280",5,"to match daily/TSN, arbitrary 8 to 9","1953MLN.EVN.regular.comment.csv",40
"MLN195307300",53,"to match daily/TSN, arbitrary 2/FL to 3/FL","1953MLN.EVN.regular.comment.csv",41
"MLN195307312",72,"Game called for rain","1953MLN.EVN.regular.comment.csv",42
"MLN195308030",52,"42 minute rain delay","1953MLN.EVN.regular.comment.csv",43
"MLN195308030",53,"game called for rain near the end of the eighth inning; Duke Snider homered to lead off the top of the eighth but the inning was negated because the Braves did not complete their time at bat","1953MLN.EVN.regular.comment.csv",44
"MLN195308050",36,"$Peewee Reese called for interference","1953MLN.EVN.regular.comment.csv",45
"MLN195308061",53,"official record moved 2 GDP's by Dittmer to Game 2","1953MLN.EVN.regular.comment.csv",46
"MLN195308061",83,"to match daily/TSN, arbitrary 9 to 8","1953MLN.EVN.regular.comment.csv",47
"MLN195308092",18,"umpchange,2,umphome,balll901 umpchange,2,ump1b,gorea901 umpchange,2,ump2b,(None) $Eddie Mathews hit a foul ball and HP umpire Len Roberts crashed into screen following play; he left with badly bruised ribs; 1B umpire Lee Ballanfant moved to HP and 2B umpire Artie Gore moved to 1B","1953MLN.EVN.regular.comment.csv",48
"MLN195308100",54,"PBP account from Milwaukee Journal ends here, rest deduced","1953MLN.EVN.regular.comment.csv",49
"MLN195308110",18,"$Del Rice called for interference for running into his own batted ball","1953MLN.EVN.regular.comment.csv",50
"MLN195308110",56,"PBP account from Milwaukee Journal ends here, rest from 276","1953MLN.EVN.regular.comment.csv",51
"MLN195308121",43,"$Eddie Mathews called out then safe as catcher dropped ball","1953MLN.EVN.regular.comment.csv",52
"MLN195308210",64,"$400 ft","1953MLN.EVN.regular.comment.csv",53
"MLN195308220",90,"$No SH awarded in official records","1953MLN.EVN.regular.comment.csv",54
"MLN195308231",24,"to match daily/TSN, arbitrary 63 to 53","1953MLN.EVN.regular.comment.csv",55
"MLN195308231",55,"to match daily/TSN, arbitrary 3 to 4","1953MLN.EVN.regular.comment.csv",56
"MLN195308232",51,"to match daily/TSN, arbitrary 4 to 6","1953MLN.EVN.regular.comment.csv",57
"MLN195308232",53,"to match daily/TSN, arbitrary 64 to 54","1953MLN.EVN.regular.comment.csv",58
"MLN195308232",69,"$game called for darkness","1953MLN.EVN.regular.comment.csv",59
"MLN195309050",20,"$Solly Hemus rounded 1B too far","1953MLN.EVN.regular.comment.csv",60
"MLN195309050",32,"$over 397 ft marker","1953MLN.EVN.regular.comment.csv",61
"MLN195309080",18,"to match daily, arbitrary 53 to 63","1953MLN.EVN.regular.comment.csv",62
"MLN195309080",32,"to match daily/TSN, arbitrary 8/L to 3/L","1953MLN.EVN.regular.comment.csv",63
"MLN195309080",65,"ej,burgs101,P,robel901,Called third strike ej,oneis101,M,robel901,Called third strike Smoky Burgess ejected by HP umpire Lenny Roberts Phillies Manager Steve O'Neill ejected by HP umpire Lenny Roberts","1953MLN.EVN.regular.comment.csv",64
"MLN195309090",8,"to match daily/TSN, arbitrary 6 to 5","1953MLN.EVN.regular.comment.csv",65
"MLN195309090",9,"to match daily/TSN, arbitrary K to K23","1953MLN.EVN.regular.comment.csv",66
"MLN195309110",21,"ej,cox-b101,P,jackb901,Call at 3B (Threw ball) Billy Cox ejected by 3B umpire Bill Jackowski","1953MLN.EVN.regular.comment.csv",67
"MLN195309110",49,"$Gil Hodges injured his side in first","1953MLN.EVN.regular.comment.csv",68
"MLN195309131",36,"to match daily/TSN, arbitrary 7 to 6","1953MLN.EVN.regular.comment.csv",69
"MLN195309132",75,"$game called for darkness","1953MLN.EVN.regular.comment.csv",70
"MLN195309150",57,"PBP account from Milwaukee Journal ends here, rest deduced","1953MLN.EVN.regular.comment.csv",71
"MLN195309160",17,"$Preston Ward fumbled the throw from CF","1953MLN.EVN.regular.comment.csv",72
"MLN195309160",54,"to match daily/TSN, arbitrary 7 to 9","1953MLN.EVN.regular.comment.csv",73
"MLN195309202",51,"$game called for darkness","1953MLN.EVN.regular.comment.csv",74
