"MIL201804030",63,"$Brewers challenge call that Molina was safe at 2nd; call was upheld - stolen base","FILENAME_TX","LINE_NUMBER_CT"
"MIL201807080",16,"Mound Visit","2018MIL.EVN.regular.comment.csv",75
"MIL201807080",21,"$Braves challenged call that Inciarte was out at second; call was upheld - out to complete double play","2018MIL.EVN.regular.comment.csv",76
"MIL201807080",27,"Mound Visit","2018MIL.EVN.regular.comment.csv",77
"MIL201807080",29,"Mound Visit","2018MIL.EVN.regular.comment.csv",78
"MIL201807080",39,"Mound Visit","2018MIL.EVN.regular.comment.csv",79
"MIL201807080",54,"Mound Visit","2018MIL.EVN.regular.comment.csv",80
"MIL201807080",62,"Mound Visit","2018MIL.EVN.regular.comment.csv",81
"MIL201807080",69,"Mound Visit","2018MIL.EVN.regular.comment.csv",82
"MIL201807080",79,"Mound Visit","2018MIL.EVN.regular.comment.csv",83
"MIL201807080",87,"Mound Visit","2018MIL.EVN.regular.comment.csv",84
"MIL201807200",41,"$Broxton was caught between 2nd and 3rd when Pina held at 3rd; Hernandez ran to the infield and tagged Broxton","2018MIL.EVN.regular.comment.csv",85
"MIL201807200",46,"Mound Visit","2018MIL.EVN.regular.comment.csv",86
"MIL201807200",54,"$Dodgers challenged call that Grandal was out at home, also challenged that catcher had illegally blocked plate; call was upheld - out at home","2018MIL.EVN.regular.comment.csv",87
"MIL201807200",56,"Mound Visit","2018MIL.EVN.regular.comment.csv",88
"MIL201807200",67,"Mound Visit","2018MIL.EVN.regular.comment.csv",89
"MIL201807200",68,"Mound Visit","2018MIL.EVN.regular.comment.csv",90
"MIL201807200",69,"Mound Visit","2018MIL.EVN.regular.comment.csv",91
"MIL201807200",75,"Mound Visit","2018MIL.EVN.regular.comment.csv",92
"MIL201807200",79,"Mound Visit","2018MIL.EVN.regular.comment.csv",93
"MIL201807200",80,"Mound Visit","2018MIL.EVN.regular.comment.csv",94
"MIL201807210",5,"Mound Visit","2018MIL.EVN.regular.comment.csv",95
"MIL201807210",34,"Mound Visit","2018MIL.EVN.regular.comment.csv",96
"MIL201807210",35,"Mound Visit","2018MIL.EVN.regular.comment.csv",97
"MIL201807210",53,"Mound Visit","2018MIL.EVN.regular.comment.csv",98
"MIL201807210",69,"Mound Visit","2018MIL.EVN.regular.comment.csv",99
"MIL201807220",10,"Mound Visit","2018MIL.EVN.regular.comment.csv",100
"MIL201807220",13,"$Originally scored as single, changed to E3 on 07-23-2018, making four runs unearned","2018MIL.EVN.regular.comment.csv",101
"MIL201807220",14,"Mound Visit","2018MIL.EVN.regular.comment.csv",102
"MIL201807220",19,"Mound Visit","2018MIL.EVN.regular.comment.csv",103
"MIL201807220",30,"$Justin Turner left with an injured groin, onto DL next day","2018MIL.EVN.regular.comment.csv",104
"MIL201807220",44,"Mound Visit","2018MIL.EVN.regular.comment.csv",105
"MIL201807220",46,"Mound Visit","2018MIL.EVN.regular.comment.csv",106
"MIL201807220",56,"Mound Visit","2018MIL.EVN.regular.comment.csv",107
"MIL201807230",11,"ej,longk801,C,lentn901,Arguing called third strike $Washington hitting coach Kevin Long ejected by plate umpire Lentz for arguing called third strike to Turner","2018MIL.EVN.regular.comment.csv",108
"MIL201807230",32,"Mound Visit","2018MIL.EVN.regular.comment.csv",109
"MIL201807230",35,"Mound Visit","2018MIL.EVN.regular.comment.csv",110
"MIL201807230",46,"Injury Delay Mound Visit","2018MIL.EVN.regular.comment.csv",111
"MIL201807230",52,"Mound Visit","2018MIL.EVN.regular.comment.csv",112
"MIL201807230",52,"On-field Delay Mound Visit","2018MIL.EVN.regular.comment.csv",113
"MIL201807230",53,"Mound Visit","2018MIL.EVN.regular.comment.csv",114
"MIL201807230",65,"Mound Visit","2018MIL.EVN.regular.comment.csv",115
"MIL201807230",72,"Mound Visit","2018MIL.EVN.regular.comment.csv",116
"MIL201807240",11,"On-field Delay","2018MIL.EVN.regular.comment.csv",117
"MIL201807240",27,"Mound Visit","2018MIL.EVN.regular.comment.csv",118
"MIL201807240",49,"Mound Visit","2018MIL.EVN.regular.comment.csv",119
"MIL201807240",57,"Mound Visit","2018MIL.EVN.regular.comment.csv",120
"MIL201807240",60,"Mound Visit","2018MIL.EVN.regular.comment.csv",121
"MIL201807240",62,"Mound Visit","2018MIL.EVN.regular.comment.csv",122
"MIL201807240",79,"Mound Visit","2018MIL.EVN.regular.comment.csv",123
"MIL201807240",82,"Mound Visit","2018MIL.EVN.regular.comment.csv",124
"MIL201807250",5,"Mound Visit","2018MIL.EVN.regular.comment.csv",125
"MIL201807250",35,"Mound Visit","2018MIL.EVN.regular.comment.csv",126
"MIL201807250",71,"Mound Visit","2018MIL.EVN.regular.comment.csv",127
"MIL201807250",72,"Mound Visit","2018MIL.EVN.regular.comment.csv",128
"MIL201808030",5,"Mound Visit","2018MIL.EVN.regular.comment.csv",129
"MIL201808030",46,"Injury Delay","2018MIL.EVN.regular.comment.csv",130
"MIL201808030",57,"Mound Visit","2018MIL.EVN.regular.comment.csv",131
"MIL201808030",61,"$Brewers challenged call that Cain was out at first; call was upheld - ground out","2018MIL.EVN.regular.comment.csv",132
"MIL201808030",62,"Mound Visit","2018MIL.EVN.regular.comment.csv",133
"MIL201808030",68,"Mound Visit","2018MIL.EVN.regular.comment.csv",134
"MIL201808030",69,"Mound Visit","2018MIL.EVN.regular.comment.csv",135
"MIL201808040",9,"Mound Visit","2018MIL.EVN.regular.comment.csv",136
"MIL201808040",10,"Mound Visit","2018MIL.EVN.regular.comment.csv",137
"MIL201808040",59,"Mound Visit","2018MIL.EVN.regular.comment.csv",138
"MIL201808040",70,"$Umpire review ball hit by Story; call was upheld - home run","2018MIL.EVN.regular.comment.csv",139
"MIL201808040",71,"Mound Visit","2018MIL.EVN.regular.comment.csv",140
"MIL201808040",74,"Mound Visit","2018MIL.EVN.regular.comment.csv",141
"MIL201808050",33,"Mound Visit","2018MIL.EVN.regular.comment.csv",142
"MIL201808050",49,"Mound Visit","2018MIL.EVN.regular.comment.csv",143
"MIL201808050",55,"Mound Visit","2018MIL.EVN.regular.comment.csv",144
"MIL201808050",71,"$Rockies challenged call that Story was out at first to complete double play; call was overturned - force out, no DP","2018MIL.EVN.regular.comment.csv",145
"MIL201808050",72,"Mound Visit","2018MIL.EVN.regular.comment.csv",146
"MIL201808050",78,"Mound Visit","2018MIL.EVN.regular.comment.csv",147
"MIL201808050",79,"Mound Visit","2018MIL.EVN.regular.comment.csv",148
"MIL201808050",80,"Mound Visit","2018MIL.EVN.regular.comment.csv",149
"MIL201808050",85,"Mound Visit","2018MIL.EVN.regular.comment.csv",150
"MIL201808050",86,"$Brewers challenged call that Dahl was safe at second; call was upheld - stolen base","2018MIL.EVN.regular.comment.csv",151
"MIL201808050",98,"$Rockies challenged call that Kratz was safe at first; call was overturned - double play","2018MIL.EVN.regular.comment.csv",152
"MIL201808070",23,"Mound Visit","2018MIL.EVN.regular.comment.csv",153
"MIL201808070",25,"Mound Visit","2018MIL.EVN.regular.comment.csv",154
"MIL201808070",43,"Mound Visit","2018MIL.EVN.regular.comment.csv",155
"MIL201808070",49,"$Padres challenged call that Aguilar was safe at second; call was overturned - out on pickoff","2018MIL.EVN.regular.comment.csv",156
"MIL201808070",52,"Mound Visit","2018MIL.EVN.regular.comment.csv",157
"MIL201808070",53,"Mound Visit","2018MIL.EVN.regular.comment.csv",158
"MIL201808070",56,"Mound Visit","2018MIL.EVN.regular.comment.csv",159
"MIL201808070",57,"Mound Visit","2018MIL.EVN.regular.comment.csv",160
"MIL201808070",76,"Mound Visit","2018MIL.EVN.regular.comment.csv",161
"MIL201808070",80,"Mound Visit","2018MIL.EVN.regular.comment.csv",162
"MIL201808080",8,"Mound Visit","2018MIL.EVN.regular.comment.csv",163
"MIL201808080",10,"Mound Visit","2018MIL.EVN.regular.comment.csv",164
"MIL201808080",35,"Injury Delay","2018MIL.EVN.regular.comment.csv",165
"MIL201808080",51,"Mound Visit","2018MIL.EVN.regular.comment.csv",166
"MIL201808080",61,"Mound Visit","2018MIL.EVN.regular.comment.csv",167
"MIL201808080",71,"$Brewers challenged call that third pitch to Yelich was a ball, claiming it had hit him; call was upheld - ball, not hit by pitch","2018MIL.EVN.regular.comment.csv",168
"MIL201808090",30,"Mound Visit","2018MIL.EVN.regular.comment.csv",169
"MIL201808090",35,"Mound Visit","2018MIL.EVN.regular.comment.csv",170
"MIL201808090",55,"Mound Visit","2018MIL.EVN.regular.comment.csv",171
"MIL201808090",72,"Mound Visit","2018MIL.EVN.regular.comment.csv",172
"MIL201808090",74,"Mound Visit","2018MIL.EVN.regular.comment.csv",173
"MIL201808090",76,"Injury Delay","2018MIL.EVN.regular.comment.csv",174
"MIL201808200",43,"Mound Visit","2018MIL.EVN.regular.comment.csv",175
"MIL201808200",50,"Mound Visit","2018MIL.EVN.regular.comment.csv",176
"MIL201808200",53,"$Reds challenged call that Cain was safe at first; call was upheld - single","2018MIL.EVN.regular.comment.csv",177
"MIL201808200",55,"Mound Visit","2018MIL.EVN.regular.comment.csv",178
"MIL201808200",62,"Mound Visit","2018MIL.EVN.regular.comment.csv",179
"MIL201808200",68,"Mound Visit","2018MIL.EVN.regular.comment.csv",180
"MIL201808210",5,"Mound Visit","2018MIL.EVN.regular.comment.csv",181
"MIL201808210",17,"Injury Delay","2018MIL.EVN.regular.comment.csv",182
"MIL201808210",39,"On-field Delay","2018MIL.EVN.regular.comment.csv",183
"MIL201808210",40,"Mound Visit","2018MIL.EVN.regular.comment.csv",184
"MIL201808210",42,"Mound Visit","2018MIL.EVN.regular.comment.csv",185
"MIL201808210",53,"Mound Visit","2018MIL.EVN.regular.comment.csv",186
"MIL201808210",54,"Mound Visit","2018MIL.EVN.regular.comment.csv",187
"MIL201808210",74,"Mound Visit","2018MIL.EVN.regular.comment.csv",188
"MIL201808210",76,"Mound Visit","2018MIL.EVN.regular.comment.csv",189
"MIL201808210",81,"Mound Visit","2018MIL.EVN.regular.comment.csv",190
"MIL201808210",82,"Mound Visit","2018MIL.EVN.regular.comment.csv",191
"MIL201808220",21,"$Brewers challenged call that Yelich was out at 3rd; call was upheld - out on caught stealing","2018MIL.EVN.regular.comment.csv",192
"MIL201808220",26,"On-field Delay","2018MIL.EVN.regular.comment.csv",193
"MIL201808220",35,"Mound Visit","2018MIL.EVN.regular.comment.csv",194
"MIL201808220",46,"Mound Visit","2018MIL.EVN.regular.comment.csv",195
"MIL201808220",49,"Mound Visit","2018MIL.EVN.regular.comment.csv",196
"MIL201808220",64,"Mound Visit","2018MIL.EVN.regular.comment.csv",197
"MIL201808220",66,"Mound Visit","2018MIL.EVN.regular.comment.csv",198
"MIL201808240",33,"Mound Visit","2018MIL.EVN.regular.comment.csv",199
"MIL201808240",44,"Mound Visit","2018MIL.EVN.regular.comment.csv",200
"MIL201808240",56,"Mound Visit","2018MIL.EVN.regular.comment.csv",201
"MIL201808240",62,"Injury Delay","2018MIL.EVN.regular.comment.csv",202
"MIL201808240",70,"Mound Visit","2018MIL.EVN.regular.comment.csv",203
"MIL201808240",72,"Mound Visit","2018MIL.EVN.regular.comment.csv",204
"MIL201808240",77,"Mound Visit","2018MIL.EVN.regular.comment.csv",205
"MIL201808240",87,"Mound Visit","2018MIL.EVN.regular.comment.csv",206
"MIL201808240",88,"Mound Visit","2018MIL.EVN.regular.comment.csv",207
"MIL201808240",96,"$Brewers challenged call that Marte was safe at 2nd; call was upheld - stolen base","2018MIL.EVN.regular.comment.csv",208
"MIL201808240",123,"Mound Visit","2018MIL.EVN.regular.comment.csv",209
"MIL201808240",132,"Mound Visit","2018MIL.EVN.regular.comment.csv",210
"MIL201808240",134,"Mound Visit","2018MIL.EVN.regular.comment.csv",211
"MIL201808250",15,"Injury Delay","2018MIL.EVN.regular.comment.csv",212
"MIL201808250",26,"Mound Visit","2018MIL.EVN.regular.comment.csv",213
"MIL201808250",49,"Mound Visit","2018MIL.EVN.regular.comment.csv",214
"MIL201808250",53,"Mound Visit","2018MIL.EVN.regular.comment.csv",215
"MIL201808250",61,"Injury Delay","2018MIL.EVN.regular.comment.csv",216
"MIL201808250",62,"$Josh Harrison left with an injured leg","2018MIL.EVN.regular.comment.csv",217
"MIL201808260",26,"Mound Visit","2018MIL.EVN.regular.comment.csv",218
"MIL201808260",41,"Mound Visit","2018MIL.EVN.regular.comment.csv",219
"MIL201808260",48,"Mound Visit","2018MIL.EVN.regular.comment.csv",220
"MIL201808260",49,"Mound Visit","2018MIL.EVN.regular.comment.csv",221
"MIL201808260",50,"$Double play awarded for runner interferent","2018MIL.EVN.regular.comment.csv",222
"MIL201808260",61,"Injury Delay","2018MIL.EVN.regular.comment.csv",223
"MIL201809030",8,"Mound Visit $Umpire review of Aguilar's hit; call was upheld - double, not home run","2018MIL.EVN.regular.comment.csv",224
"MIL201809030",20,"Mound Visit","2018MIL.EVN.regular.comment.csv",225
"MIL201809030",58,"Mound Visit","2018MIL.EVN.regular.comment.csv",226
"MIL201809030",59,"Mound Visit","2018MIL.EVN.regular.comment.csv",227
"MIL201809030",63,"Mound Visit","2018MIL.EVN.regular.comment.csv",228
"MIL201809030",65,"Mound Visit","2018MIL.EVN.regular.comment.csv",229
"MIL201809030",66,"Mound Visit ej,maddj801,M,morag901,Arguing balls and strikes ej,edwac001,P,morag901,Arguing balls and strikes $Chicago manager Maddon ejected by plate umpire Morales for arguing balls and strikes after 2nd pitch to Moustakas; pitcher Edwards ejected as he left mound after being relieved","2018MIL.EVN.regular.comment.csv",230
"MIL201809030",70,"Mound Visit","2018MIL.EVN.regular.comment.csv",231
"MIL201809030",74,"Mound Visit","2018MIL.EVN.regular.comment.csv",232
"MIL201809030",77,"Mound Visit","2018MIL.EVN.regular.comment.csv",233
"MIL201809040",15,"Mound Visit","2018MIL.EVN.regular.comment.csv",234
"MIL201809040",31,"On-field Delay","2018MIL.EVN.regular.comment.csv",235
"MIL201809040",36,"Mound Visit","2018MIL.EVN.regular.comment.csv",236
"MIL201809040",47,"Injury Delay","2018MIL.EVN.regular.comment.csv",237
"MIL201809040",48,"$Anthony Rizzo left with an injured foot","2018MIL.EVN.regular.comment.csv",238
"MIL201809040",51,"Mound Visit","2018MIL.EVN.regular.comment.csv",239
"MIL201809040",52,"Mound Visit","2018MIL.EVN.regular.comment.csv",240
"MIL201809040",55,"Mound Visit","2018MIL.EVN.regular.comment.csv",241
"MIL201809040",56,"Mound Visit","2018MIL.EVN.regular.comment.csv",242
"MIL201809040",66,"Mound Visit","2018MIL.EVN.regular.comment.csv",243
"MIL201809040",80,"Mound Visit","2018MIL.EVN.regular.comment.csv",244
"MIL201809050",21,"Mound Visit","2018MIL.EVN.regular.comment.csv",245
"MIL201809050",23,"Mound Visit","2018MIL.EVN.regular.comment.csv",246
"MIL201809050",25,"$Orignally scored as passed ball, changed to wild pitch on 09-07-2018","2018MIL.EVN.regular.comment.csv",247
"MIL201809050",32,"Mound Visit","2018MIL.EVN.regular.comment.csv",248
"MIL201809050",35,"Mound Visit","2018MIL.EVN.regular.comment.csv",249
"MIL201809050",39,"Mound Visit","2018MIL.EVN.regular.comment.csv",250
"MIL201809050",41,"$Cubs challenged call that Rizzo was out at home; call was upheld - out at home","2018MIL.EVN.regular.comment.csv",251
"MIL201809050",58,"Mound Visit","2018MIL.EVN.regular.comment.csv",252
"MIL201809050",63,"Mound Visit","2018MIL.EVN.regular.comment.csv",253
"MIL201809050",67,"Mound Visit","2018MIL.EVN.regular.comment.csv",254
"MIL201809050",72,"Mound Visit","2018MIL.EVN.regular.comment.csv",255
"MIL201809070",50,"Mound Visit","2018MIL.EVN.regular.comment.csv",256
"MIL201809070",54,"Mound Visit","2018MIL.EVN.regular.comment.csv",257
"MIL201809070",57,"Mound Visit Mound Visit","2018MIL.EVN.regular.comment.csv",258
"MIL201809070",58,"Mound Visit","2018MIL.EVN.regular.comment.csv",259
"MIL201809070",71,"ej,bochb002,M,hamaa901,alled third strike $Giants' manager Bochy ejected by HP umpire Hamari for arguing called third strike","2018MIL.EVN.regular.comment.csv",260
"MIL201809080",29,"Mound Visit","2018MIL.EVN.regular.comment.csv",261
"MIL201809080",34,"Mound Visit","2018MIL.EVN.regular.comment.csv",262
"MIL201809080",44,"Mound Visit $Giants challenged call that d'Arnaud was out at home; call was overturned - safe at home","2018MIL.EVN.regular.comment.csv",263
"MIL201809080",50,"Mound Visit","2018MIL.EVN.regular.comment.csv",264
"MIL201809080",58,"Mound Visit","2018MIL.EVN.regular.comment.csv",265
"MIL201809080",59,"Mound Visit","2018MIL.EVN.regular.comment.csv",266
"MIL201809080",68,"Mound Visit","2018MIL.EVN.regular.comment.csv",267
"MIL201809080",69,"Mound Visit","2018MIL.EVN.regular.comment.csv",268
"MIL201809090",30,"Injury Delay","2018MIL.EVN.regular.comment.csv",269
"MIL201809090",46,"Mound Visit","2018MIL.EVN.regular.comment.csv",270
"MIL201809090",47,"On-field Delay Mound Visit ej,counc001,M,hallt901,Arguing about warning ej,milew001,P,hallt901,Arguing about warning ej,nottj001,P,hallt901,Arguing about warning $After Braun was hit, plate umpire Hallion issued warnings to both teams; Milwaukee manager Counsell was angry about the warning and was ejected by Hallion; Wade Miley and Jacob Nottingham were both ejected from the bench by Hallion as Counsell was leaving the dugout for the clubhouse","2018MIL.EVN.regular.comment.csv",271
"MIL201809090",51,"Mound Visit","2018MIL.EVN.regular.comment.csv",272
"MIL201809090",60,"Mound Visit","2018MIL.EVN.regular.comment.csv",273
"MIL201809090",63,"Mound Visit","2018MIL.EVN.regular.comment.csv",274
"MIL201809140",7,"Mound Visit","2018MIL.EVN.regular.comment.csv",275
"MIL201809140",37,"$Pirates challenged call that Marte was out at 1st; call was upheld - ground out","2018MIL.EVN.regular.comment.csv",276
"MIL201809140",38,"Mound Visit","2018MIL.EVN.regular.comment.csv",277
"MIL201809140",41,"Injury Delay","2018MIL.EVN.regular.comment.csv",278
"MIL201809140",42,"Mound Visit","2018MIL.EVN.regular.comment.csv",279
"MIL201809140",59,"Mound Visit","2018MIL.EVN.regular.comment.csv",280
"MIL201809140",63,"Injury Delay","2018MIL.EVN.regular.comment.csv",281
"MIL201809140",73,"Mound Visit","2018MIL.EVN.regular.comment.csv",282
"MIL201809140",81,"Mound Visit","2018MIL.EVN.regular.comment.csv",283
"MIL201809150",9,"Mound Visit","2018MIL.EVN.regular.comment.csv",284
"MIL201809150",37,"Mound Visit","2018MIL.EVN.regular.comment.csv",285
"MIL201809150",41,"On-field Delay ej,cervf001,P,gibsh902,Called third strike ej,hurdc001,M,gibsh902,Called third strike $Cervelli and Pirates manager Hurdle ejected by HP umpire Gibson for arguing called third strike","2018MIL.EVN.regular.comment.csv",286
"MIL201809150",42,"Mound Visit","2018MIL.EVN.regular.comment.csv",287
"MIL201809150",62,"Mound Visit","2018MIL.EVN.regular.comment.csv",288
"MIL201809150",66,"$Brewers challenged call that Luplow was safe at 2nd; call was overturned - out on caught stealing","2018MIL.EVN.regular.comment.csv",289
"MIL201809160",36,"Mound Visit","2018MIL.EVN.regular.comment.csv",290
"MIL201809160",52,"Mound Visit","2018MIL.EVN.regular.comment.csv",291
"MIL201809160",61,"Mound Visit","2018MIL.EVN.regular.comment.csv",292
"MIL201809170",27,"Mound Visit","2018MIL.EVN.regular.comment.csv",293
"MIL201809170",39,"Mound Visit","2018MIL.EVN.regular.comment.csv",294
"MIL201809170",43,"Mound Visit","2018MIL.EVN.regular.comment.csv",295
"MIL201809170",50,"Mound Visit","2018MIL.EVN.regular.comment.csv",296
"MIL201809170",52,"Mound Visit","2018MIL.EVN.regular.comment.csv",297
"MIL201809170",55,"Mound Visit","2018MIL.EVN.regular.comment.csv",298
"MIL201809170",67,"Mound Visit","2018MIL.EVN.regular.comment.csv",299
"MIL201809180",6,"Mound Visit","2018MIL.EVN.regular.comment.csv",300
"MIL201809180",14,"Injury Delay","2018MIL.EVN.regular.comment.csv",301
